# k,abs_F_direct,abs_F_parallel,abs_error
1.24000000e+02,1.32298980e+01,1.32298980e+01,7.94410929e-15
1.25000000e+02,2.47411142e+01,2.47411142e+01,6.40474567e-15
1.26000000e+02,4.48375771e+00,4.48375771e+00,6.66133815e-15
1.27000000e+02,2.12486971e+01,2.12486971e+01,1.77635684e-15
1.28000000e+02,2.80676527e+01,2.80676527e+01,0.00000000e+00
1.29000000e+02,1.81871024e+01,1.81871024e+01,3.97205465e-15
1.30000000e+02,3.45204227e+00,3.45204227e+00,3.97205465e-15
1.31000000e+02,1.85601010e+01,1.85601010e+01,0.00000000e+00
1.32000000e+02,2.29476857e+01,2.29476857e+01,3.97205465e-15
1.33000000e+02,2.84854072e+01,2.84854072e+01,2.66453526e-15
1.34000000e+02,9.07027396e+00,9.07027396e+00,7.22924858e-15
1.35000000e+02,2.62805848e+01,2.62805848e+01,3.55271368e-15
1.36000000e+02,5.52763387e+00,5.52763387e+00,1.98602732e-15
1.37000000e+02,1.70127374e+01,1.70127374e+01,2.51214793e-15
1.38000000e+02,3.33312330e+01,3.33312330e+01,5.32907052e-15
1.39000000e+02,1.38035393e+01,1.38035393e+01,2.51214793e-15
1.40000000e+02,1.34867741e+00,1.34867741e+00,3.08474224e-15
1.41000000e+02,1.01621055e+01,1.01621055e+01,4.44089210e-15
1.42000000e+02,1.55399027e+01,1.55399027e+01,8.88178420e-15
1.43000000e+02,9.53349575e+00,9.53349575e+00,5.61733355e-15
1.44000000e+02,2.42538974e+01,2.42538974e+01,1.77635684e-15
1.45000000e+02,4.31137673e+01,4.31137673e+01,1.43214467e-14
1.46000000e+02,2.75815636e+01,2.75815636e+01,2.66453526e-15
1.47000000e+02,2.33644404e+01,2.33644404e+01,3.55271368e-15
1.48000000e+02,1.60502138e+01,1.60502138e+01,2.51214793e-15
1.49000000e+02,1.99961708e+01,1.99961708e+01,3.97205465e-15
1.50000000e+02,3.35390469e+01,3.35390469e+01,7.94410929e-15
1.51000000e+02,1.72834678e+00,1.72834678e+00,7.69505502e-15
1.52000000e+02,5.16842000e+00,5.16842000e+00,7.58859974e-15
1.53000000e+02,3.83349787e+01,3.83349787e+01,7.32410688e-15
1.54000000e+02,1.43245701e+01,1.43245701e+01,4.44089210e-15
1.55000000e+02,2.23785258e+01,2.23785258e+01,7.10542736e-15
1.56000000e+02,5.94173771e+00,5.94173771e+00,5.32907052e-15
1.57000000e+02,1.80236670e+01,1.80236670e+01,8.88178420e-15
1.58000000e+02,2.53615603e+01,2.53615603e+01,7.32410688e-15
1.59000000e+02,1.71402602e+01,1.71402602e+01,1.13742335e-14
1.60000000e+02,1.44147033e+01,1.44147033e+01,3.66205344e-15
1.61000000e+02,7.19900724e+00,7.19900724e+00,6.28036983e-15
1.62000000e+02,1.27710711e+01,1.27710711e+01,3.97205465e-15
1.63000000e+02,1.89596383e+01,1.89596383e+01,1.77635684e-15
1.64000000e+02,4.15610855e+01,4.15610855e+01,7.10542736e-15
1.65000000e+02,5.11518650e+01,5.11518650e+01,1.00485917e-14
1.66000000e+02,9.19548114e+00,9.19548114e+00,3.38936379e-15
1.67000000e+02,1.54418833e+01,1.54418833e+01,8.15239420e-15
1.68000000e+02,9.53967947e+00,9.53967947e+00,1.98602732e-15
1.69000000e+02,2.76051891e+01,2.76051891e+01,1.28094913e-14
1.70000000e+02,6.85208919e+00,6.85208919e+00,1.83102672e-15
1.71000000e+02,2.61173328e+01,2.61173328e+01,5.02429587e-15
1.72000000e+02,1.44815490e+01,1.44815490e+01,6.93689521e-15
1.73000000e+02,1.53907071e+01,1.53907071e+01,1.00485917e-14
1.74000000e+02,1.06824344e+01,1.06824344e+01,1.16821632e-14
1.75000000e+02,2.42216028e+01,2.42216028e+01,3.97205465e-15
1.76000000e+02,1.85736500e+01,1.85736500e+01,3.55271368e-15
1.77000000e+02,3.61656298e+01,3.61656298e+01,0.00000000e+00
1.78000000e+02,9.51335330e+00,9.51335330e+00,2.22044605e-15
1.79000000e+02,3.31088597e+01,3.31088597e+01,1.77635684e-15
1.80000000e+02,3.07185418e+01,3.07185418e+01,7.58859974e-15
1.81000000e+02,3.14712830e+01,3.14712830e+01,1.12346671e-14
1.82000000e+02,1.38115807e+01,1.38115807e+01,9.27285494e-15
1.83000000e+02,7.33059451e+00,7.33059451e+00,6.40474567e-15
1.84000000e+02,7.90230241e+00,7.90230241e+00,7.16072335e-15
1.85000000e+02,4.34851840e+01,4.34851840e+01,7.94410929e-15
1.86000000e+02,9.17102115e+00,9.17102115e+00,6.21724894e-15
1.87000000e+02,1.90775654e+01,1.90775654e+01,7.32410688e-15
1.88000000e+02,1.46177067e+01,1.46177067e+01,9.76996262e-15
1.89000000e+02,1.15249415e+01,1.15249415e+01,7.32410688e-15
1.90000000e+02,1.87065815e+01,1.87065815e+01,1.12346671e-14
1.91000000e+02,1.56962524e+01,1.56962524e+01,7.11929162e-15
1.92000000e+02,6.04521972e+00,6.04521972e+00,0.00000000e+00
1.93000000e+02,1.20222117e+01,1.20222117e+01,4.78298717e-15
1.94000000e+02,3.16685113e+00,3.16685113e+00,3.97205465e-15
1.95000000e+02,1.74295580e+01,1.74295580e+01,3.55271368e-15
1.96000000e+02,1.53172089e+01,1.53172089e+01,2.66453526e-15
1.97000000e+02,3.28243400e+00,3.28243400e+00,2.39149358e-15
1.98000000e+02,8.99355496e+00,8.99355496e+00,2.51214793e-15
1.99000000e+02,1.08207189e+01,1.08207189e+01,3.55271368e-15
2.00000000e+02,1.28295868e+01,1.28295868e+01,0.00000000e+00
2.01000000e+02,1.35856076e+01,1.35856076e+01,3.66205344e-15
2.02000000e+02,4.32658302e+01,4.32658302e+01,2.22044605e-15
2.03000000e+02,1.61290944e+01,1.61290944e+01,6.40474567e-15
2.04000000e+02,1.50522610e+01,1.50522610e+01,8.43769499e-15
2.05000000e+02,9.72412404e+00,9.72412404e+00,8.15239420e-15
2.06000000e+02,3.21347091e+01,3.21347091e+01,1.28094913e-14
2.07000000e+02,1.52795393e+01,1.52795393e+01,3.97205465e-15
2.08000000e+02,4.26816175e+01,4.26816175e+01,1.77635684e-15
2.09000000e+02,2.01004907e+01,2.01004907e+01,2.22044605e-15
2.10000000e+02,2.62461882e+01,2.62461882e+01,3.97205465e-15
2.11000000e+02,3.11114684e+01,3.11114684e+01,7.94410929e-15
2.12000000e+02,2.74009343e+01,2.74009343e+01,7.94410929e-15
2.13000000e+02,3.50183752e+01,3.50183752e+01,1.43214467e-14
2.14000000e+02,3.79007483e+01,3.79007483e+01,1.42108547e-14
2.15000000e+02,1.45378209e+01,1.45378209e+01,1.77635684e-15
2.16000000e+02,1.51201909e+01,1.51201909e+01,5.32907052e-15
2.17000000e+02,2.19684489e+01,2.19684489e+01,0.00000000e+00
2.18000000e+02,3.47560867e+01,3.47560867e+01,3.55271368e-15
2.19000000e+02,2.03842992e+01,2.03842992e+01,0.00000000e+00
2.20000000e+02,1.31937080e+01,1.31937080e+01,7.58859974e-15
2.21000000e+02,1.26345409e+01,1.26345409e+01,1.98602732e-15
2.22000000e+02,2.32934264e+01,2.32934264e+01,1.63772009e-14
2.23000000e+02,1.89306578e+01,1.89306578e+01,7.94410929e-15
2.24000000e+02,2.68904962e+01,2.68904962e+01,7.10542736e-15
2.25000000e+02,1.75636499e+01,1.75636499e+01,5.02429587e-15
2.26000000e+02,2.80108106e+01,2.80108106e+01,3.55271368e-15
2.27000000e+02,8.06013700e+00,8.06013700e+00,5.61733355e-15
2.28000000e+02,1.30767452e+01,1.30767452e+01,8.88178420e-16
2.29000000e+02,2.97786222e+01,2.97786222e+01,3.55271368e-15
2.30000000e+02,7.34590735e+00,7.34590735e+00,9.60711850e-15
2.31000000e+02,2.38253641e+00,2.38253641e+00,3.79429987e-15
2.32000000e+02,4.94783948e+00,4.94783948e+00,5.17892564e-15
2.33000000e+02,1.81664047e+01,1.81664047e+01,5.32907052e-15
2.34000000e+02,3.16701312e+01,3.16701312e+01,7.10542736e-15
2.35000000e+02,2.20416335e+01,2.20416335e+01,5.02429587e-15
2.36000000e+02,4.17678163e+01,4.17678163e+01,1.06581410e-14
2.37000000e+02,2.54420847e+01,2.54420847e+01,1.12346671e-14
2.38000000e+02,2.51259386e+01,2.51259386e+01,7.10542736e-15
2.39000000e+02,3.42657956e+01,3.42657956e+01,1.77635684e-15
2.40000000e+02,1.16484759e+01,1.16484759e+01,3.66205344e-15
2.41000000e+02,2.75030155e+01,2.75030155e+01,3.97205465e-15
2.42000000e+02,9.22471857e+00,9.22471857e+00,6.66133815e-15
2.43000000e+02,2.10174954e+01,2.10174954e+01,3.55271368e-15
2.44000000e+02,3.81357534e+00,3.81357534e+00,1.05931801e-14
2.45000000e+02,2.00238338e+01,2.00238338e+01,8.88178420e-15
2.46000000e+02,8.19059570e+00,8.19059570e+00,5.95808197e-15
2.47000000e+02,2.98093533e+01,2.98093533e+01,1.00485917e-14
2.48000000e+02,1.14133705e+01,1.14133705e+01,3.55271368e-15
2.49000000e+02,2.40706382e+01,2.40706382e+01,9.56597434e-15
2.50000000e+02,3.03254146e+01,3.03254146e+01,7.94410929e-15
2.51000000e+02,2.25356009e+01,2.25356009e+01,5.32907052e-15
2.52000000e+02,3.10347355e+01,3.10347355e+01,1.58882186e-14
2.53000000e+02,2.86238678e+01,2.86238678e+01,1.50728876e-14
2.54000000e+02,1.80184187e+01,1.80184187e+01,7.32410688e-15
2.55000000e+02,3.16461545e+01,3.16461545e+01,7.94410929e-15
