# K,N,SU_shared_P2,SU_shared_P4,SU_MPI_P2,SU_MPI_P4
7.78894472e+00,4.89116139e+04,3.82550114e+00,7.67706145e+00,3.75370708e+00,7.51241850e+00
7.81407035e+00,5.06452977e+04,3.82558295e+00,7.67760006e+00,3.75436279e+00,7.51380329e+00
7.83919598e+00,5.24404324e+04,3.82565629e+00,7.67812727e+00,3.75501299e+00,7.51517818e+00
7.86432161e+00,5.42991960e+04,3.82572108e+00,7.67864305e+00,3.75565771e+00,7.51654322e+00
7.88944724e+00,5.62238440e+04,3.82577726e+00,7.67914736e+00,3.75629695e+00,7.51789848e+00
7.91457286e+00,5.82167115e+04,3.82582477e+00,7.67964016e+00,3.75693075e+00,7.51924401e+00
7.93969849e+00,6.02802168e+04,3.82586356e+00,7.68012140e+00,3.75755913e+00,7.52057987e+00
7.96482412e+00,6.24168635e+04,3.82589354e+00,7.68059105e+00,3.75818210e+00,7.52190612e+00
7.98994975e+00,6.46292441e+04,3.82591466e+00,7.68104906e+00,3.75879968e+00,7.52322281e+00
8.01507538e+00,6.69200431e+04,3.82592685e+00,7.68149539e+00,3.75941188e+00,7.52453001e+00
8.04020101e+00,6.92920400e+04,3.82593003e+00,7.68192997e+00,3.76001874e+00,7.52582775e+00
8.06532663e+00,7.17481129e+04,3.82592414e+00,7.68235277e+00,3.76062026e+00,7.52711610e+00
8.09045226e+00,7.42912419e+04,3.82590909e+00,7.68276373e+00,3.76121645e+00,7.52839511e+00
8.11557789e+00,7.69245127e+04,3.82588482e+00,7.68316279e+00,3.76180735e+00,7.52966483e+00
8.14070352e+00,7.96511204e+04,3.82585125e+00,7.68354989e+00,3.76239294e+00,7.53092530e+00
8.16582915e+00,8.24743734e+04,3.82580829e+00,7.68392498e+00,3.76297326e+00,7.53217657e+00
8.19095477e+00,8.53976973e+04,3.82575587e+00,7.68428800e+00,3.76354832e+00,7.53341869e+00
8.21608040e+00,8.84246390e+04,3.82569390e+00,7.68463887e+00,3.76411812e+00,7.53465171e+00
8.24120603e+00,9.15588715e+04,3.82562230e+00,7.68497754e+00,3.76468268e+00,7.53587566e+00
8.26633166e+00,9.48041975e+04,3.82554098e+00,7.68530393e+00,3.76524200e+00,7.53709060e+00
8.29145729e+00,9.81645550e+04,3.82544986e+00,7.68561797e+00,3.76579611e+00,7.53829657e+00
8.31658291e+00,1.01644021e+05,3.82534884e+00,7.68591960e+00,3.76634500e+00,7.53949360e+00
8.34170854e+00,1.05246818e+05,3.82523784e+00,7.68620873e+00,3.76688869e+00,7.54068173e+00
8.36683417e+00,1.08977316e+05,3.82511675e+00,7.68648528e+00,3.76742718e+00,7.54186101e+00
8.39195980e+00,1.12840043e+05,3.82498548e+00,7.68674919e+00,3.76796048e+00,7.54303147e+00
8.41708543e+00,1.16839685e+05,3.82484394e+00,7.68700036e+00,3.76848860e+00,7.54419316e+00
8.44221106e+00,1.20981096e+05,3.82469203e+00,7.68723872e+00,3.76901155e+00,7.54534609e+00
8.46733668e+00,1.25269300e+05,3.82452963e+00,7.68746416e+00,3.76952931e+00,7.54649032e+00
8.49246231e+00,1.29709500e+05,3.82435666e+00,7.68767662e+00,3.77004191e+00,7.54762587e+00
8.51758794e+00,1.34307084e+05,3.82417300e+00,7.68787599e+00,3.77054935e+00,7.54875277e+00
8.54271357e+00,1.39067631e+05,3.82397854e+00,7.68806218e+00,3.77105162e+00,7.54987107e+00
8.56783920e+00,1.43996916e+05,3.82377318e+00,7.68823509e+00,3.77154873e+00,7.55098078e+00
8.59296482e+00,1.49100921e+05,3.82355681e+00,7.68839463e+00,3.77204069e+00,7.55208193e+00
8.61809045e+00,1.54385839e+05,3.82332930e+00,7.68854069e+00,3.77252748e+00,7.55317456e+00
8.64321608e+00,1.59858082e+05,3.82309055e+00,7.68867317e+00,3.77300912e+00,7.55425869e+00
8.66834171e+00,1.65524290e+05,3.82284043e+00,7.68879196e+00,3.77348559e+00,7.55533435e+00
8.69346734e+00,1.71391338e+05,3.82257883e+00,7.68889696e+00,3.77395690e+00,7.55640157e+00
8.71859296e+00,1.77466345e+05,3.82230562e+00,7.68898805e+00,3.77442305e+00,7.55746036e+00
8.74371859e+00,1.83756682e+05,3.82202067e+00,7.68906513e+00,3.77488403e+00,7.55851075e+00
8.76884422e+00,1.90269981e+05,3.82172387e+00,7.68912806e+00,3.77533984e+00,7.55955276e+00
8.79396985e+00,1.97014146e+05,3.82141507e+00,7.68917674e+00,3.77579047e+00,7.56058642e+00
8.81909548e+00,2.03997360e+05,3.82109415e+00,7.68921103e+00,3.77623592e+00,7.56161174e+00
8.84422111e+00,2.11228095e+05,3.82076098e+00,7.68923082e+00,3.77667618e+00,7.56262874e+00
8.86934673e+00,2.18715125e+05,3.82041542e+00,7.68923598e+00,3.77711124e+00,7.56363744e+00
8.89447236e+00,2.26467535e+05,3.82005732e+00,7.68922638e+00,3.77754110e+00,7.56463785e+00
8.91959799e+00,2.34494731e+05,3.81968655e+00,7.68920188e+00,3.77796575e+00,7.56563000e+00
8.94472362e+00,2.42806453e+05,3.81930296e+00,7.68916235e+00,3.77838518e+00,7.56661390e+00
8.96984925e+00,2.51412785e+05,3.81890642e+00,7.68910765e+00,3.77879938e+00,7.56758955e+00
8.99497487e+00,2.60324171e+05,3.81849676e+00,7.68903764e+00,3.77920833e+00,7.56855698e+00
9.02010050e+00,2.69551424e+05,3.81807383e+00,7.68895217e+00,3.77961203e+00,7.56951619e+00
9.04522613e+00,2.79105738e+05,3.81763749e+00,7.68885109e+00,3.78001047e+00,7.57046719e+00
9.07035176e+00,2.88998708e+05,3.81718758e+00,7.68873426e+00,3.78040362e+00,7.57141000e+00
9.09547739e+00,2.99242336e+05,3.81672394e+00,7.68860152e+00,3.78079148e+00,7.57234461e+00
9.12060302e+00,3.09849052e+05,3.81624640e+00,7.68845271e+00,3.78117403e+00,7.57327105e+00
9.14572864e+00,3.20831726e+05,3.81575481e+00,7.68828767e+00,3.78155125e+00,7.57418931e+00
9.17085427e+00,3.32203683e+05,3.81524899e+00,7.68810624e+00,3.78192314e+00,7.57509941e+00
9.19597990e+00,3.43978722e+05,3.81472878e+00,7.68790826e+00,3.78228966e+00,7.57600133e+00
9.22110553e+00,3.56171130e+05,3.81419401e+00,7.68769355e+00,3.78265081e+00,7.57689510e+00
9.24623116e+00,3.68795701e+05,3.81364449e+00,7.68746194e+00,3.78300656e+00,7.57778070e+00
9.27135678e+00,3.81867752e+05,3.81308005e+00,7.68721326e+00,3.78335689e+00,7.57865814e+00
9.29648241e+00,3.95403146e+05,3.81250052e+00,7.68694732e+00,3.78370179e+00,7.57952742e+00
9.32160804e+00,4.09418305e+05,3.81190570e+00,7.68666394e+00,3.78404122e+00,7.58038854e+00
9.34673367e+00,4.23930234e+05,3.81129541e+00,7.68636294e+00,3.78437518e+00,7.58124149e+00
9.37185930e+00,4.38956543e+05,3.81066947e+00,7.68604413e+00,3.78470363e+00,7.58208627e+00
9.39698492e+00,4.54515462e+05,3.81002767e+00,7.68570731e+00,3.78502655e+00,7.58292288e+00
9.42211055e+00,4.70625871e+05,3.80936982e+00,7.68535228e+00,3.78534391e+00,7.58375132e+00
9.44723618e+00,4.87307318e+05,3.80869573e+00,7.68497886e+00,3.78565570e+00,7.58457156e+00
9.47236181e+00,5.04580042e+05,3.80800520e+00,7.68458682e+00,3.78596187e+00,7.58538361e+00
9.49748744e+00,5.22465002e+05,3.80729801e+00,7.68417596e+00,3.78626242e+00,7.58618746e+00
9.52261307e+00,5.40983899e+05,3.80657397e+00,7.68374608e+00,3.78655729e+00,7.58698309e+00
9.54773869e+00,5.60159202e+05,3.80583285e+00,7.68329696e+00,3.78684647e+00,7.58777049e+00
9.57286432e+00,5.80014179e+05,3.80507446e+00,7.68282838e+00,3.78712993e+00,7.58854966e+00
9.59798995e+00,6.00572920e+05,3.80429856e+00,7.68234011e+00,3.78740762e+00,7.58932057e+00
9.62311558e+00,6.21860371e+05,3.80350494e+00,7.68183193e+00,3.78767953e+00,7.59008322e+00
9.64824121e+00,6.43902360e+05,3.80269338e+00,7.68130360e+00,3.78794561e+00,7.59083758e+00
9.67336683e+00,6.66725633e+05,3.80186365e+00,7.68075491e+00,3.78820584e+00,7.59158364e+00
9.69849246e+00,6.90357882e+05,3.80101552e+00,7.68018559e+00,3.78846017e+00,7.59232139e+00
9.72361809e+00,7.14827782e+05,3.80014875e+00,7.67959542e+00,3.78870857e+00,7.59305079e+00
9.74874372e+00,7.40165024e+05,3.79926311e+00,7.67898415e+00,3.78895100e+00,7.59377183e+00
9.77386935e+00,7.66400350e+05,3.79835836e+00,7.67835151e+00,3.78918742e+00,7.59448448e+00
9.79899497e+00,7.93565593e+05,3.79743426e+00,7.67769727e+00,3.78941780e+00,7.59518873e+00
9.82412060e+00,8.21693715e+05,3.79649055e+00,7.67702116e+00,3.78964209e+00,7.59588455e+00
9.84924623e+00,8.50818845e+05,3.79552698e+00,7.67632291e+00,3.78986025e+00,7.59657191e+00
9.87437186e+00,8.80976322e+05,3.79454331e+00,7.67560226e+00,3.79007223e+00,7.59725078e+00
9.89949749e+00,9.12202738e+05,3.79353926e+00,7.67485893e+00,3.79027800e+00,7.59792114e+00
9.92462312e+00,9.44535982e+05,3.79251459e+00,7.67409265e+00,3.79047751e+00,7.59858296e+00
9.94974874e+00,9.78015285e+05,3.79146903e+00,7.67330313e+00,3.79067071e+00,7.59923621e+00
9.97487437e+00,1.01268127e+06,3.79040230e+00,7.67249009e+00,3.79085755e+00,7.59988084e+00
1.00000000e+01,1.04857600e+06,3.78931413e+00,7.67165324e+00,3.79103799e+00,7.60051684e+00
