# Figure 2: RI/MSbar matching and RG evolution at NNLO
# Quenched QCD: N_c=3, N_f=0
# Columns: mu_GeV, delta_z_ri_msbar, c_s_msbar, rg_ratio_to_2GeV
mu_GeV,delta_z_ri_msbar,c_s_msbar,rg_ratio_to_2GeV
5.57894737,1.08693253,1.94775302,0.86273364
5.60150376,1.08680279,1.94865764,0.86233313
5.62406015,1.08667396,1.94955776,0.86193499
5.64661654,1.08654602,1.95045342,0.86153919
5.66917293,1.08641897,1.95134465,0.86114570
5.69172932,1.08629280,1.95223150,0.86075450
5.71428571,1.08616748,1.95311401,0.86036557
5.73684211,1.08604303,1.95399222,0.85997889
5.75939850,1.08591941,1.95486616,0.85959443
5.78195489,1.08579664,1.95573587,0.85921216
5.80451128,1.08567469,1.95660140,0.85883208
5.82706767,1.08555356,1.95746279,0.85845415
5.84962406,1.08543323,1.95832005,0.85807836
5.87218045,1.08531371,1.95917325,0.85770468
5.89473684,1.08519497,1.96002240,0.85733309
5.91729323,1.08507702,1.96086755,0.85696357
5.93984962,1.08495984,1.96170873,0.85659610
5.96240602,1.08484342,1.96254597,0.85623067
5.98496241,1.08472776,1.96337932,0.85586725
6.00751880,1.08461285,1.96420880,0.85550582
6.03007519,1.08449868,1.96503445,0.85514636
6.05263158,1.08438524,1.96585630,0.85478886
6.07518797,1.08427253,1.96667438,0.85443329
6.09774436,1.08416053,1.96748872,0.85407964
6.12030075,1.08404924,1.96829937,0.85372788
6.14285714,1.08393865,1.96910634,0.85337801
6.16541353,1.08382876,1.96990967,0.85303000
6.18796992,1.08371955,1.97070939,0.85268384
6.21052632,1.08361103,1.97150554,0.85233951
6.23308271,1.08350317,1.97229813,0.85199698
6.25563910,1.08339599,1.97308720,0.85165625
6.27819549,1.08328946,1.97387278,0.85131730
6.30075188,1.08318358,1.97465490,0.85098011
6.32330827,1.08307835,1.97543359,0.85064467
6.34586466,1.08297376,1.97620887,0.85031096
6.36842105,1.08286981,1.97698077,0.84997896
6.39097744,1.08276647,1.97774932,0.84964866
6.41353383,1.08266376,1.97851455,0.84932004
6.43609023,1.08256167,1.97927648,0.84899309
6.45864662,1.08246018,1.98003514,0.84866779
6.48120301,1.08235929,1.98079056,0.84834414
6.50375940,1.08225900,1.98154275,0.84802210
6.52631579,1.08215929,1.98229176,0.84770168
6.54887218,1.08206017,1.98303760,0.84738285
6.57142857,1.08196163,1.98378030,0.84706560
6.59398496,1.08186367,1.98451988,0.84674992
6.61654135,1.08176627,1.98525637,0.84643580
6.63909774,1.08166943,1.98598979,0.84612321
6.66165414,1.08157315,1.98672016,0.84581215
6.68421053,1.08147742,1.98744751,0.84550261
6.70676692,1.08138223,1.98817187,0.84519456
6.72932331,1.08128759,1.98889325,0.84488801
6.75187970,1.08119348,1.98961167,0.84458293
6.77443609,1.08109990,1.99032717,0.84427931
6.79699248,1.08100685,1.99103976,0.84397715
6.81954887,1.08091432,1.99174947,0.84367642
6.84210526,1.08082230,1.99245631,0.84337712
6.86466165,1.08073079,1.99316031,0.84307923
6.88721805,1.08063980,1.99386149,0.84278274
6.90977444,1.08054930,1.99455987,0.84248765
6.93233083,1.08045930,1.99525547,0.84219393
6.95488722,1.08036979,1.99594831,0.84190159
6.97744361,1.08028077,1.99663842,0.84161060
7.00000000,1.08019223,1.99732581,0.84132095
7.02255639,1.08010417,1.99801050,0.84103264
7.04511278,1.08001658,1.99869252,0.84074566
7.06766917,1.07992947,1.99937187,0.84045999
7.09022556,1.07984282,2.00004859,0.84017561
7.11278195,1.07975664,2.00072269,0.83989254
7.13533835,1.07967091,2.00139419,0.83961074
7.15789474,1.07958564,2.00206310,0.83933021
7.18045113,1.07950081,2.00272946,0.83905095
7.20300752,1.07941643,2.00339326,0.83877294
7.22556391,1.07933250,2.00405455,0.83849617
7.24812030,1.07924900,2.00471332,0.83822063
7.27067669,1.07916593,2.00536960,0.83794631
7.29323308,1.07908330,2.00602341,0.83767320
7.31578947,1.07900109,2.00667476,0.83740130
7.33834586,1.07891931,2.00732368,0.83713059
7.36090226,1.07883795,2.00797017,0.83686106
7.38345865,1.07875700,2.00861426,0.83659271
7.40601504,1.07867646,2.00925596,0.83632553
7.42857143,1.07859633,2.00989529,0.83605950
7.45112782,1.07851661,2.01053226,0.83579462
7.47368421,1.07843729,2.01116690,0.83553088
7.49624060,1.07835837,2.01179921,0.83526827
7.51879699,1.07827984,2.01242922,0.83500679
7.54135338,1.07820170,2.01305693,0.83474641
