# Figure 4: Scale dependence of the chiral condensate
# Input: -<psibar psi>^MSbar(2 GeV) = 0.0147 GeV^3
# Columns: mu_GeV, condensate_lo, condensate_nlo, condensate_nnlo
mu_GeV,condensate_lo_GeV3,condensate_nlo_GeV3,condensate_nnlo_GeV3
6.63909774,0.01705326,0.01732625,0.01737336
6.66165414,0.01705897,0.01733255,0.01737975
6.68421053,0.01706466,0.01733883,0.01738611
6.70676692,0.01707033,0.01734508,0.01739245
6.72932331,0.01707598,0.01735131,0.01739876
6.75187970,0.01708160,0.01735751,0.01740504
6.77443609,0.01708720,0.01736369,0.01741130
6.79699248,0.01709278,0.01736984,0.01741753
6.81954887,0.01709833,0.01737596,0.01742374
6.84210526,0.01710386,0.01738207,0.01742993
6.86466165,0.01710937,0.01738814,0.01743608
6.88721805,0.01711486,0.01739420,0.01744222
6.90977444,0.01712033,0.01740023,0.01744833
6.93233083,0.01712578,0.01740623,0.01745441
6.95488722,0.01713120,0.01741221,0.01746047
6.97744361,0.01713661,0.01741817,0.01746651
7.00000000,0.01714199,0.01742410,0.01747252
7.02255639,0.01714735,0.01743002,0.01747851
7.04511278,0.01715269,0.01743590,0.01748448
7.06766917,0.01715801,0.01744177,0.01749042
7.09022556,0.01716331,0.01744761,0.01749634
7.11278195,0.01716859,0.01745343,0.01750224
7.13533835,0.01717385,0.01745923,0.01750811
7.15789474,0.01717909,0.01746501,0.01751397
7.18045113,0.01718431,0.01747076,0.01751979
7.20300752,0.01718951,0.01747649,0.01752560
7.22556391,0.01719469,0.01748220,0.01753139
7.24812030,0.01719986,0.01748789,0.01753715
7.27067669,0.01720500,0.01749356,0.01754289
7.29323308,0.01721012,0.01749920,0.01754861
7.31578947,0.01721523,0.01750483,0.01755431
7.33834586,0.01722031,0.01751043,0.01755998
7.36090226,0.01722538,0.01751601,0.01756564
7.38345865,0.01723043,0.01752158,0.01757127
7.40601504,0.01723546,0.01752712,0.01757689
7.42857143,0.01724047,0.01753264,0.01758248
7.45112782,0.01724546,0.01753814,0.01758805
7.47368421,0.01725044,0.01754362,0.01759360
7.49624060,0.01725540,0.01754908,0.01759914
7.51879699,0.01726033,0.01755452,0.01760465
7.54135338,0.01726526,0.01755994,0.01761014
7.56390977,0.01727016,0.01756534,0.01761561
7.58646617,0.01727505,0.01757073,0.01762106
7.60902256,0.01727992,0.01757609,0.01762649
7.63157895,0.01728477,0.01758143,0.01763191
7.65413534,0.01728960,0.01758676,0.01763730
7.67669173,0.01729442,0.01759206,0.01764267
7.69924812,0.01729922,0.01759735,0.01764803
7.72180451,0.01730401,0.01760262,0.01765336
7.74436090,0.01730877,0.01760787,0.01765868
7.76691729,0.01731353,0.01761310,0.01766398
7.78947368,0.01731826,0.01761831,0.01766926
7.81203008,0.01732298,0.01762350,0.01767452
7.83458647,0.01732768,0.01762868,0.01767976
7.85714286,0.01733237,0.01763384,0.01768499
7.87969925,0.01733704,0.01763898,0.01769019
7.90225564,0.01734169,0.01764410,0.01769538
7.92481203,0.01734633,0.01764921,0.01770055
7.94736842,0.01735095,0.01765430,0.01770570
