# Figure 1: Running coupling alpha_s^MSbar(mu) at NNLO
# Quenched QCD: N_c=3, N_f=0, Lambda_QCD=0.251 GeV
# Columns: mu_GeV, alpha_s_central, alpha_s_low, alpha_s_high
mu_GeV,alpha_s_central,alpha_s_low,alpha_s_high
8.46973948,0.12989907,0.12709255,0.13259826
8.48817635,0.12982763,0.12702434,0.13252365
8.50661323,0.12975644,0.12695635,0.13244930
8.52505010,0.12968548,0.12688858,0.13237519
8.54348697,0.12961475,0.12682104,0.13230132
8.56192385,0.12954426,0.12675372,0.13222771
8.58036072,0.12947400,0.12668662,0.13215434
8.59879760,0.12940398,0.12661973,0.13208121
8.61723447,0.12933418,0.12655307,0.13200832
8.63567134,0.12926461,0.12648662,0.13193568
8.65410822,0.12919527,0.12642039,0.13186327
8.67254509,0.12912615,0.12635437,0.13179110
8.69098196,0.12905726,0.12628856,0.13171917
8.70941884,0.12898859,0.12622296,0.13164748
8.72785571,0.12892014,0.12615758,0.13157601
8.74629259,0.12885192,0.12609240,0.13150478
8.76472946,0.12878391,0.12602743,0.13143378
8.78316633,0.12871612,0.12596267,0.13136302
8.80160321,0.12864855,0.12589812,0.13129248
8.82004008,0.12858120,0.12583377,0.13122216
8.83847695,0.12851406,0.12576962,0.13115208
8.85691383,0.12844714,0.12570567,0.13108221
8.87535070,0.12838042,0.12564193,0.13101258
8.89378758,0.12831392,0.12557839,0.13094316
8.91222445,0.12824763,0.12551504,0.13087397
8.93066132,0.12818155,0.12545190,0.13080499
8.94909820,0.12811567,0.12538895,0.13073624
8.96753507,0.12805001,0.12532619,0.13066770
8.98597194,0.12798454,0.12526364,0.13059938
9.00440882,0.12791929,0.12520127,0.13053127
9.02284569,0.12785423,0.12513910,0.13046338
9.04128257,0.12778938,0.12507712,0.13039570
9.05971944,0.12772473,0.12501533,0.13032823
9.07815631,0.12766028,0.12495373,0.13026098
9.09659319,0.12759603,0.12489232,0.13019393
9.11503006,0.12753198,0.12483110,0.13012709
9.13346693,0.12746812,0.12477006,0.13006046
9.15190381,0.12740446,0.12470921,0.12999404
9.17034068,0.12734100,0.12464854,0.12992782
9.18877756,0.12727773,0.12458806,0.12986180
9.20721443,0.12721465,0.12452776,0.12979599
9.22565130,0.12715176,0.12446765,0.12973038
9.24408818,0.12708907,0.12440771,0.12966497
9.26252505,0.12702657,0.12434796,0.12959976
9.28096192,0.12696425,0.12428838,0.12953475
9.29939880,0.12690212,0.12422898,0.12946993
9.31783567,0.12684018,0.12416976,0.12940532
9.33627255,0.12677843,0.12411071,0.12934090
9.35470942,0.12671686,0.12405184,0.12927667
