k_dist,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14
10.23606905,0.51207898,0.52456122,0.54981279,0.58235282,0.61605708,0.64857949,0.66156639,0.71688078,0.89026595,0.90211965,0.91924793,0.93075958,0.94094195,0.98544000
10.42845152,0.51202254,0.52428069,0.54996202,0.58237567,0.61651754,0.64838021,0.66140498,0.71669703,0.89050596,0.90239851,0.91896760,0.93200155,0.93974478,0.98997046
10.62083400,0.51208357,0.52455304,0.54981527,0.58242274,0.61608388,0.64845630,0.66145491,0.71696100,0.89011992,0.90226322,0.91917126,0.93146842,0.94043391,0.98782366
10.81321647,0.51226799,0.52536391,0.54936367,0.58249241,0.61487181,0.64863196,0.66182252,0.71763050,0.88915559,0.90173332,0.91979982,0.92973487,0.94243788,0.98244849
11.00559895,0.51258984,0.52667383,0.54858020,0.58258447,0.61317064,0.64853950,0.66270257,0.71859702,0.88772801,0.90086867,0.92069106,0.92776016,0.94480671,0.97699270
11.19798142,0.51306153,0.52842140,0.54743407,0.58270176,0.61130501,0.64797146,0.66413291,0.71970973,0.88598416,0.89975316,0.92154796,0.92605732,0.94711373,0.97185243
11.39036389,0.51368513,0.53051205,0.54592406,0.58285134,0.60954731,0.64701410,0.66591214,0.72080117,0.88407422,0.89848662,0.92169273,0.92530078,0.94909518,0.96723425
11.58274637,0.51444716,0.53275077,0.54416735,0.58304371,0.60809225,0.64589613,0.66774659,0.72170715,0.88213706,0.89718080,0.92073933,0.92581627,0.95041320,0.96344638
11.77512884,0.51531571,0.53453334,0.54272482,0.58329045,0.60706257,0.64484246,0.66937408,0.72228009,0.88029530,0.89595165,0.91943505,0.92678536,0.95050907,0.96103519
11.96751132,0.51623739,0.53432345,0.54313210,0.58360372,0.60652638,0.64402595,0.67059172,0.72239781,0.87865347,0.89490799,0.91815341,0.92776875,0.94908115,0.96030300
12.15989379,0.51712997,0.53187945,0.54567457,0.58400197,0.60651533,0.64356162,0.67124782,0.72197015,0.87729613,0.89413973,0.91697883,0.92862894,0.94680824,0.96058369
12.35227627,0.51785615,0.52849876,0.54915793,0.58452171,0.60703639,0.64351011,0.67123236,0.72094416,0.87628508,0.89370826,0.91593470,0.92930633,0.94444380,0.96114757
12.68549249,0.50806437,0.52734896,0.54561503,0.59256858,0.60510493,0.63901866,0.67516166,0.72537011,0.87986257,0.89636710,0.91954281,0.92708061,0.95731658,0.95863224
13.01870871,0.49473736,0.51113001,0.55363497,0.60138107,0.60710328,0.63708799,0.67944437,0.73040178,0.88330410,0.89920918,0.91777684,0.92925106,0.95353692,0.97285516
13.35192493,0.47810236,0.49000477,0.56459099,0.61084113,0.61149200,0.63763607,0.68399633,0.73590138,0.88650561,0.90217412,0.91379006,0.93266639,0.94988304,0.98661140
13.68514115,0.45865038,0.46664788,0.57666226,0.61736249,0.62082002,0.64026096,0.68873340,0.74174073,0.88936133,0.90519804,0.90948376,0.93550749,0.94642313,0.99900631
14.01835737,0.43691111,0.44183809,0.58945387,0.62423925,0.63117337,0.64449111,0.69357189,0.74779777,0.89177115,0.90522599,0.90822374,0.93755214,0.94322435,0.99527049
14.35157359,0.41333765,0.41594295,0.60273925,0.63186204,0.64172126,0.64993207,0.69843161,0.75395615,0.89364783,0.90115769,0.91120696,0.93882507,0.94037838,0.98708751
14.68478981,0.38828314,0.38917471,0.61630948,0.64008585,0.65213297,0.65641058,0.70324093,0.76010695,0.89492665,0.89736109,0.91411547,0.93776538,0.93964243,0.97944962
15.01800603,0.36167306,0.36201544,0.62992009,0.64885336,0.66130091,0.66458611,0.70794386,0.76615153,0.89389082,0.89557520,0.91692288,0.93570722,0.93990378,0.97242600
