k_dist,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8
29.07517816,0.46512029,0.46809580,0.73874930,0.75077688,0.77569724,0.80695504,0.83977527,0.86948414
29.45994310,0.47151415,0.47491736,0.74230644,0.74559901,0.76989678,0.80682471,0.84227130,0.87118002
29.84470805,0.47737766,0.48192520,0.74031608,0.74726036,0.76471578,0.80429266,0.84134137,0.86888827
30.22947300,0.48278859,0.48837095,0.73656401,0.75172570,0.76143948,0.80087661,0.83611436,0.86284331
30.61423795,0.48771335,0.49371057,0.73444619,0.75172608,0.76433453,0.79757130,0.82846180,0.85480261
30.99900290,0.49206694,0.49759785,0.73415930,0.74869305,0.77147206,0.79497248,0.82043168,0.84545517
31.38376785,0.49574086,0.49987997,0.73550558,0.74549442,0.77896211,0.79324307,0.81415987,0.83539533
31.76853280,0.49859490,0.50058402,0.73797927,0.74248271,0.78495035,0.79129593,0.81287726,0.82536870
32.15329775,0.49984794,0.50046724,0.73960247,0.74097676,0.78759298,0.78922076,0.81659697,0.81819392
32.31037738,0.49980543,0.50040943,0.73970899,0.74105837,0.78746962,0.78896452,0.81702909,0.81848376
32.46745701,0.49965211,0.50023991,0.73996712,0.74133324,0.78692881,0.78834543,0.81810562,0.81958655
32.62453665,0.49939264,0.49996356,0.74035329,0.74177854,0.78611501,0.78748643,0.81973654,0.82134976
32.78161628,0.49903470,0.49958827,0.74082884,0.74235584,0.78521578,0.78653621,0.82181494,0.82358538
32.93869591,0.49858862,0.49912461,0.74134204,0.74301202,0.78440810,0.78564796,0.82422359,0.82613530
33.09577554,0.49806704,0.49858545,0.74183236,0.74368220,0.78383963,0.78496473,0.82685305,0.82887939
33.25285518,0.49748437,0.49798547,0.74223785,0.74429573,0.78362554,0.78461066,0.82960972,0.83172586
33.40993481,0.49685635,0.49734063,0.74250527,0.74478604,0.78384576,0.78468393,0.83241481,0.83460142
33.56701444,0.49619954,0.49666774,0.74260050,0.74510279,0.78454091,0.78524822,0.83520043,0.83744425
