# Figure 2: Dispersion relations at theta_k=85deg
# Columns: k [m^-1], omega_magnetosonic/omega_ci, omega_whistler/omega_ci, omega_analytic/omega_ci
k,omega_magnetosonic,omega_whistler,omega_analytic
879.04682274,40.03368533,139.68415690,145.30781001
882.04013378,40.17000716,140.63707545,146.26146610
885.03344482,40.30632899,141.59323334,147.21835444
888.02675585,40.44265082,142.55263057,148.17847512
891.02006689,40.57897265,143.51526715,149.14182823
894.01337793,40.71529448,144.48114307,150.10841385
897.00668896,40.85161632,145.45025833,151.07823207
900.00000000,40.98793815,146.42261293,152.05128297
# Numerical (Stix) data points
# k_numerical [m^-1], omega_numerical/omega_ci
# num,30.00000000,1.37502226
# num,44.74576271,2.06732310
# num,59.49152542,2.77871081
# num,74.23728814,3.51488412
# num,88.98305085,4.28109048
# num,103.72881356,5.08206833
# num,118.47457627,5.92201438
# num,133.22033898,6.80457333
# num,147.96610169,7.73284613
# num,162.71186441,8.70941225
# num,177.45762712,9.73636183
# num,192.20338983,10.81533369
# num,206.94915254,11.94755626
# num,221.69491525,13.13388910
# num,236.44067797,14.37486325
# num,251.18644068,15.67071948
# num,265.93220339,17.02144382
# num,280.67796610,18.42679993
# num,295.42372881,19.88635853
# num,310.16949153,21.39952370
# num,324.91525424,22.96555646
# num,339.66101695,24.58359574
# num,354.40677966,26.25267698
# num,369.15254237,27.97174870
# num,383.89830508,29.73968715
# num,398.64406780,31.55530935
# num,413.38983051,33.41738461
# num,428.13559322,35.32464481
# num,442.88135593,37.27579353
# num,457.62711864,39.26951408
# num,472.37288136,41.30447676
# num,487.11864407,43.37934516
# num,501.86440678,45.49278184
# num,516.61016949,47.64345330
# num,531.35593220,49.83003442
# num,546.10169492,52.05121226
# num,560.84745763,54.30568953
# num,575.59322034,56.59218750
# num,590.33898305,58.90944854
# num,605.08474576,61.25623835
# num,619.83050847,63.63134783
# num,634.57627119,66.03359462
# num,649.32203390,68.46182445
# num,664.06779661,70.91491214
# num,678.81355932,73.39176247
# num,693.55932203,75.89131081
# num,708.30508475,78.41252355
# num,723.05084746,80.95439842
# num,737.79661017,83.51596460
# num,752.54237288,86.09628273
# num,767.28813559,88.69444481
# num,782.03389831,91.30957398
# num,796.77966102,93.94082425
# num,811.52542373,96.58738003
# num,826.27118644,99.24845578
# num,841.01694915,101.92329539
# num,855.76271186,104.61117169
# num,870.50847458,107.31138582
# num,885.25423729,110.02326653
# num,900.00000000,112.74616958
