# Figure 1: Stability threshold from Eq.(25), Z=1
# Columns: B_T [T], T_crit_nr_5e-4 [eV], T_crit_nr_1e-3 [eV], T_crit_nr_5e-3 [eV]
B_T,T_crit_nr_5e-4,T_crit_nr_1e-3,T_crit_nr_5e-3
2.80904523,42.89162375,27.02002981,9.24072021
2.82412060,43.04494522,27.11661629,9.27375232
2.83919598,43.19799411,27.21303105,9.30672571
2.85427136,43.35077236,27.30927532,9.33964078
2.86934673,43.50328187,27.40535029,9.37249796
2.88442211,43.65552452,27.50125715,9.40529764
2.89949749,43.80750217,27.59699706,9.43804024
2.91457286,43.95921665,27.69257120,9.47072613
2.92964824,44.11066978,27.78798069,9.50335572
2.94472362,44.26186335,27.88322667,9.53592939
2.95979899,44.41279913,27.97831025,9.56844751
2.97487437,44.56347887,28.07323254,9.60091048
2.98994975,44.71390429,28.16799462,9.63331865
3.00502513,44.86407711,28.26259757,9.66567241
3.02010050,45.01399901,28.35704245,9.69797210
3.03517588,45.16367167,28.45133031,9.73021810
3.05025126,45.31309672,28.54546220,9.76241075
3.06532663,45.46227581,28.63943913,9.79455041
3.08040201,45.61121054,28.73326213,9.82663742
3.09547739,45.75990251,28.82693220,9.85867214
3.11055276,45.90835329,28.92045034,9.89065489
3.12562814,46.05656443,29.01381751,9.92258601
3.14070352,46.20453749,29.10703469,9.95446584
3.15577889,46.35227398,29.20010285,9.98629470
3.17085427,46.49977540,29.29302292,10.01807292
3.18592965,46.64704325,29.38579586,10.04980082
3.20100503,46.79407900,29.47842257,10.08147871
3.21608040,46.94088411,29.57090399,10.11310691
3.23115578,47.08746001,29.66324102,10.14468573
3.24623116,47.23380813,29.75543456,10.17621548
3.26130653,47.37992987,29.84748550,10.20769645
3.27638191,47.52582665,29.93939470,10.23912896
3.29145729,47.67149982,30.03116305,10.27051329
3.30653266,47.81695076,30.12279140,10.30184975
3.32160804,47.96218082,30.21428061,10.33313862
3.33668342,48.10719133,30.30563150,10.36438018
3.35175879,48.25198361,30.39684493,10.39557474
3.36683417,48.39655898,30.48792170,10.42672255
3.38190955,48.54091872,30.57886264,10.45782392
3.39698492,48.68506412,30.66966855,10.48887910
3.41206030,48.82899645,30.76034023,10.51988838
3.42713568,48.97271695,30.85087848,10.55085203
3.44221106,49.11622687,30.94128406,10.58177030
3.45728643,49.25952744,31.03155776,10.61264347
3.47236181,49.40261987,31.12170035,10.64347180
3.48743719,49.54550538,31.21171258,10.67425555
3.50251256,49.68818514,31.30159520,10.70499498
3.51758794,49.83066035,31.39134895,10.73569033
3.53266332,49.97293216,31.48097458,10.76634186
3.54773869,50.11500174,31.57047280,10.79694982
3.56281407,50.25687023,31.65984435,10.82751446
3.57788945,50.39853876,31.74908993,10.85803602
3.59296482,50.54000846,31.83821026,10.88851475
3.60804020,50.68128043,31.92720603,10.91895087
3.62311558,50.82235579,32.01607793,10.94934463
3.63819095,50.96323561,32.10482666,10.97969627
3.65326633,51.10392098,32.19345289,11.01000602
3.66834171,51.24441297,32.28195730,11.04027410
3.68341709,51.38471264,32.37034055,11.07050074
3.69849246,51.52482103,32.45860330,11.10068618
3.71356784,51.66473919,32.54674622,11.13083064
3.72864322,51.80446813,32.63476994,11.16093432
3.74371859,51.94400889,32.72267511,11.19099747
3.75879397,52.08336248,32.81046237,11.22102029
3.77386935,52.22252988,32.89813234,11.25100300
3.78894472,52.36151210,32.98568565,11.28094581
3.80402010,52.50031011,33.07312292,11.31084893
3.81909548,52.63892489,33.16044476,11.34071258
3.83417085,52.77735740,33.24765178,11.37053696
3.84924623,52.91560860,33.33474457,11.40032228
3.86432161,53.05367943,33.42172375,11.43006874
3.87939698,53.19157084,33.50858989,11.45977654
3.89447236,53.32928374,33.59534358,11.48944589
3.90954774,53.46681906,33.68198540,11.51907697
3.92462312,53.60417771,33.76851593,11.54867000
3.93969849,53.74136060,33.85493574,11.57822516
3.95477387,53.87836862,33.94124538,11.60774264
3.96984925,54.01520267,34.02744543,11.63722264
3.98492462,54.15186361,34.11353643,11.66666535
4.00000000,54.28835233,34.19951893,11.69607095
