# Fig 1(a): Band structure with Delta = gamma1
# Columns: vp_over_gamma1, E_band1_eV, E_band2_eV, E_band3_eV, E_band4_eV
vp_over_gamma1,E_band1_eV,E_band2_eV,E_band3_eV,E_band4_eV
1.77855711,-0.99260480,-0.45293604,0.45293604,0.99260480
1.78356713,-0.99450276,-0.45476196,0.45476196,0.99450276
1.78857715,-0.99640100,-0.45658882,0.45658882,0.99640100
1.79358717,-0.99829951,-0.45841660,0.45841660,0.99829951
1.79859719,-1.00019829,-0.46024530,0.46024530,1.00019829
1.80360721,-1.00209733,-0.46207491,0.46207491,1.00209733
1.80861723,-1.00399664,-0.46390541,0.46390541,1.00399664
1.81362725,-1.00589622,-0.46573680,0.46573680,1.00589622
1.81863727,-1.00779605,-0.46756907,0.46756907,1.00779605
1.82364729,-1.00969614,-0.46940221,0.46940221,1.00969614
1.82865731,-1.01159649,-0.47123620,0.47123620,1.01159649
1.83366733,-1.01349710,-0.47307105,0.47307105,1.01349710
1.83867735,-1.01539795,-0.47490673,0.47490673,1.01539795
1.84368737,-1.01729906,-0.47674325,0.47674325,1.01729906
1.84869739,-1.01920042,-0.47858059,0.47858059,1.01920042
1.85370741,-1.02110203,-0.48041874,0.48041874,1.02110203
1.85871743,-1.02300388,-0.48225770,0.48225770,1.02300388
1.86372745,-1.02490598,-0.48409746,0.48409746,1.02490598
1.86873747,-1.02680832,-0.48593801,0.48593801,1.02680832
1.87374749,-1.02871090,-0.48777934,0.48777934,1.02871090
1.87875752,-1.03061372,-0.48962144,0.48962144,1.03061372
1.88376754,-1.03251678,-0.49146431,0.49146431,1.03251678
1.88877756,-1.03442008,-0.49330793,0.49330793,1.03442008
1.89378758,-1.03632361,-0.49515231,0.49515231,1.03632361
1.89879760,-1.03822737,-0.49699743,0.49699743,1.03822737
1.90380762,-1.04013136,-0.49884328,0.49884328,1.04013136
1.90881764,-1.04203558,-0.50068986,0.50068986,1.04203558
1.91382766,-1.04394003,-0.50253716,0.50253716,1.04394003
1.91883768,-1.04584471,-0.50438517,0.50438517,1.04584471
1.92384770,-1.04774961,-0.50623388,0.50623388,1.04774961
1.92885772,-1.04965473,-0.50808330,0.50808330,1.04965473
1.93386774,-1.05156008,-0.50993341,0.50993341,1.05156008
1.93887776,-1.05346564,-0.51178420,0.51178420,1.05346564
1.94388778,-1.05537142,-0.51363567,0.51363567,1.05537142
1.94889780,-1.05727742,-0.51548781,0.51548781,1.05727742
1.95390782,-1.05918364,-0.51734062,0.51734062,1.05918364
1.95891784,-1.06109007,-0.51919408,0.51919408,1.06109007
1.96392786,-1.06299671,-0.52104820,0.52104820,1.06299671
1.96893788,-1.06490357,-0.52290296,0.52290296,1.06490357
1.97394790,-1.06681063,-0.52475836,0.52475836,1.06681063
1.97895792,-1.06871791,-0.52661439,0.52661439,1.06871791
1.98396794,-1.07062539,-0.52847105,0.52847105,1.07062539
1.98897796,-1.07253307,-0.53032834,0.53032834,1.07253307
1.99398798,-1.07444096,-0.53218623,0.53218623,1.07444096
1.99899800,-1.07634905,-0.53404474,0.53404474,1.07634905
2.00400802,-1.07825735,-0.53590385,0.53590385,1.07825735
2.00901804,-1.08016584,-0.53776356,0.53776356,1.08016584
2.01402806,-1.08207453,-0.53962386,0.53962386,1.08207453
2.01903808,-1.08398342,-0.54148474,0.54148474,1.08398342
2.02404810,-1.08589251,-0.54334621,0.54334621,1.08589251
2.02905812,-1.08780179,-0.54520825,0.54520825,1.08780179
2.03406814,-1.08971127,-0.54707087,0.54707087,1.08971127
2.03907816,-1.09162093,-0.54893404,0.54893404,1.09162093
2.04408818,-1.09353079,-0.55079778,0.55079778,1.09353079
2.04909820,-1.09544084,-0.55266207,0.55266207,1.09544084
2.05410822,-1.09735108,-0.55452691,0.55452691,1.09735108
2.05911824,-1.09926150,-0.55639230,0.55639230,1.09926150
2.06412826,-1.10117211,-0.55825822,0.55825822,1.10117211
2.06913828,-1.10308291,-0.56012468,0.56012468,1.10308291
2.07414830,-1.10499389,-0.56199167,0.56199167,1.10499389
2.07915832,-1.10690505,-0.56385918,0.56385918,1.10690505
2.08416834,-1.10881639,-0.56572722,0.56572722,1.10881639
2.08917836,-1.11072792,-0.56759577,0.56759577,1.11072792
2.09418838,-1.11263962,-0.56946483,0.56946483,1.11263962
2.09919840,-1.11455150,-0.57133439,0.57133439,1.11455150
2.10420842,-1.11646356,-0.57320446,0.57320446,1.11646356
2.10921844,-1.11837579,-0.57507502,0.57507502,1.11837579
2.11422846,-1.12028820,-0.57694608,0.57694608,1.12028820
2.11923848,-1.12220078,-0.57881763,0.57881763,1.12220078
2.12424850,-1.12411354,-0.58068965,0.58068965,1.12411354
2.12925852,-1.12602646,-0.58256216,0.58256216,1.12602646
