beta_T_interp,kappa_T_interp,beta_C_interp,kappa_C_interp
6.86582915,0.13381223,6.86582915,0.13893143
6.87035176,0.13361863,6.87035176,0.13870195
6.87487437,0.13342429,6.87487437,0.13847109
6.87939698,0.13322924,6.87939698,0.13823886
6.88391960,0.13303347,6.88391960,0.13800531
6.88844221,0.13283702,6.88844221,0.13777046
6.89296482,0.13263989,6.89296482,0.13753435
6.89748744,0.13244209,6.89748744,0.13729700
6.90201005,0.13224364,6.90201005,0.13705845
6.90653266,0.13204455,6.90653266,0.13681874
6.91105528,0.13184483,6.91105528,0.13657788
6.91557789,0.13164450,6.91557789,0.13633591
6.92010050,0.13144357,6.92010050,0.13609287
6.92462312,0.13124205,6.92462312,0.13584878
6.92914573,0.13103995,6.92914573,0.13560368
6.93366834,0.13083730,6.93366834,0.13535759
6.93819095,0.13063410,6.93819095,0.13511056
6.94271357,0.13043036,6.94271357,0.13486260
6.94723618,0.13022610,6.94723618,0.13461375
6.95175879,0.13002133,6.95175879,0.13436405
6.95628141,0.12981607,6.95628141,0.13411352
6.96080402,0.12961033,6.96080402,0.13386220
6.96532663,0.12940411,6.96532663,0.13361011
6.96984925,0.12919744,6.96984925,0.13335729
6.97437186,0.12899033,6.97437186,0.13310377
6.97889447,0.12878279,6.97889447,0.13284959
6.98341709,0.12857483,6.98341709,0.13259476
6.98793970,0.12836647,6.98793970,0.13233933
6.99246231,0.12815772,6.99246231,0.13208332
6.99698492,0.12794859,6.99698492,0.13182676
7.00150754,0.12773909,7.00150754,0.13156970
7.00603015,0.12752925,7.00603015,0.13131215
7.01055276,0.12731907,7.01055276,0.13105415
7.01507538,0.12710856,7.01507538,0.13079574
7.01959799,0.12689774,7.01959799,0.13053694
7.02412060,0.12668662,7.02412060,0.13027778
7.02864322,0.12647522,7.02864322,0.13001829
7.03316583,0.12626355,7.03316583,0.12975852
7.03768844,0.12605162,7.03768844,0.12949848
7.04221106,0.12583944,7.04221106,0.12923821
7.04673367,0.12562703,7.04673367,0.12897774
7.05125628,0.12541440,7.05125628,0.12871710
7.05577889,0.12520156,7.05577889,0.12845633
7.06030151,0.12498853,7.06030151,0.12819545
7.06482412,0.12477532,7.06482412,0.12793449
7.06934673,0.12456194,7.06934673,0.12767350
7.07386935,0.12434841,7.07386935,0.12741249
7.07839196,0.12413474,7.07839196,0.12715150
7.08291457,0.12392094,7.08291457,0.12689057
7.08743719,0.12370702,7.08743719,0.12662971
7.09195980,0.12349301,7.09195980,0.12636897
7.09648241,0.12327890,7.09648241,0.12610838
7.10100503,0.12306473,7.10100503,0.12584796
7.10552764,0.12285048,7.10552764,0.12558775
7.11005025,0.12263620,7.11005025,0.12532778
7.11457286,0.12242187,7.11457286,0.12506808
7.11909548,0.12220752,7.11909548,0.12480869
7.12361809,0.12199317,7.12361809,0.12454962
7.12814070,0.12177881,7.12814070,0.12429092
7.13266332,0.12156448,7.13266332,0.12403262
7.13718593,0.12135017,7.13718593,0.12377474
7.14170854,0.12113591,7.14170854,0.12351733
7.14623116,0.12092170,7.14623116,0.12326040
7.15075377,0.12070756,7.15075377,0.12300399
7.15527638,0.12049351,7.15527638,0.12274814
7.15979899,0.12027955,7.15979899,0.12249287
7.16432161,0.12006570,7.16432161,0.12223822
7.16884422,0.11985197,7.16884422,0.12198421
7.17336683,0.11963838,7.17336683,0.12173088
7.17788945,0.11942493,7.17788945,0.12147826
7.18241206,0.11921165,7.18241206,0.12122638
7.18693467,0.11899854,7.18693467,0.12097527
7.19145729,0.11878562,7.19145729,0.12072497
7.19597990,0.11857290,7.19597990,0.12047550
7.20050251,0.11836039,7.20050251,0.12022689
7.20502513,0.11814811,7.20502513,0.11997919
7.20954774,0.11793607,7.20954774,0.11973241
7.21407035,0.11772429,7.21407035,0.11948659
7.21859296,0.11751277,7.21859296,0.11924177
7.22311558,0.11730153,7.22311558,0.11899796
7.22763819,0.11709058,7.22763819,0.11875521
7.23216080,0.11687994,7.23216080,0.11851355
7.23668342,0.11666961,7.23668342,0.11827300
7.24120603,0.11645962,7.24120603,0.11803360
7.24572864,0.11624998,7.24572864,0.11779538
7.25025126,0.11604069,7.25025126,0.11755837
7.25477387,0.11583178,7.25477387,0.11732260
7.25929648,0.11562325,7.25929648,0.11708811
7.26381910,0.11541511,7.26381910,0.11685492
7.26834171,0.11520739,7.26834171,0.11662307
7.27286432,0.11500009,7.27286432,0.11639258
7.27738693,0.11479323,7.27738693,0.11616349
7.28190955,0.11458682,7.28190955,0.11593583
7.28643216,0.11438088,7.28643216,0.11570964
7.29095477,0.11417541,7.29095477,0.11548493
7.29547739,0.11397043,7.29547739,0.11526176
7.30000000,0.11376595,7.30000000,0.11504013

# Crossover points (beta, kappa_T)
# 6.40, 0.1475
# 6.60, 0.1430
# 6.80, 0.1370
# 7.20, 0.1180
# 7.30, 0.1140
# Critical points (beta, kappa_c)
# 6.40, 0.1495
# 6.60, 0.1480
# 6.80, 0.1430
# 7.20, 0.1195
# 7.30, 0.1155
# Zero-T simulation points (beta, kappa)
# 6.40, 0.1450
# 6.40, 0.1475
# 6.60, 0.1400
# 6.60, 0.1430
# 6.60, 0.1460
# 6.80, 0.1325
# 6.80, 0.1370
# 6.80, 0.1400
# 7.20, 0.1180
# 7.30, 0.1140
