# alpha,gamma_b,dominant_mode_id,max_growth_rate
9.433732e-01,1.232847e+00,3.000000e+00,6.287029e-01
9.712740e-01,1.232847e+00,3.000000e+00,6.348408e-01
1.000000e+00,1.232847e+00,3.000000e+00,6.410387e-01
1.000000e-01,1.321941e+00,3.000000e+00,2.907033e-01
1.029576e-01,1.321941e+00,3.000000e+00,2.935414e-01
1.060026e-01,1.321941e+00,3.000000e+00,2.964072e-01
1.091377e-01,1.321941e+00,3.000000e+00,2.993010e-01
1.123655e-01,1.321941e+00,3.000000e+00,3.022230e-01
1.156888e-01,1.321941e+00,3.000000e+00,3.051736e-01
1.191103e-01,1.321941e+00,3.000000e+00,3.081530e-01
1.226331e-01,1.321941e+00,3.000000e+00,3.111615e-01
1.262600e-01,1.321941e+00,3.000000e+00,3.141993e-01
1.299942e-01,1.321941e+00,3.000000e+00,3.172668e-01
1.338389e-01,1.321941e+00,3.000000e+00,3.203642e-01
1.377972e-01,1.321941e+00,3.000000e+00,3.234919e-01
1.418727e-01,1.321941e+00,3.000000e+00,3.266501e-01
1.460686e-01,1.321941e+00,3.000000e+00,3.298392e-01
1.503887e-01,1.321941e+00,3.000000e+00,3.330594e-01
1.548365e-01,1.321941e+00,3.000000e+00,3.363110e-01
1.594159e-01,1.321941e+00,3.000000e+00,3.395944e-01
1.641307e-01,1.321941e+00,3.000000e+00,3.429098e-01
1.689850e-01,1.321941e+00,3.000000e+00,3.462576e-01
1.739828e-01,1.321941e+00,3.000000e+00,3.496381e-01
1.791284e-01,1.321941e+00,3.000000e+00,3.530515e-01
1.844263e-01,1.321941e+00,3.000000e+00,3.564983e-01
1.898808e-01,1.321941e+00,3.000000e+00,3.599788e-01
1.954966e-01,1.321941e+00,3.000000e+00,3.634932e-01
2.012785e-01,1.321941e+00,3.000000e+00,3.670420e-01
2.072315e-01,1.321941e+00,3.000000e+00,3.706254e-01
2.133605e-01,1.321941e+00,3.000000e+00,3.742438e-01
2.196707e-01,1.321941e+00,3.000000e+00,3.778975e-01
2.261676e-01,1.321941e+00,3.000000e+00,3.815868e-01
2.328566e-01,1.321941e+00,3.000000e+00,3.853122e-01
2.397435e-01,1.321941e+00,3.000000e+00,3.890740e-01
2.468340e-01,1.321941e+00,3.000000e+00,3.928725e-01
2.541343e-01,1.321941e+00,3.000000e+00,3.967081e-01
2.616505e-01,1.321941e+00,3.000000e+00,4.005811e-01
2.693889e-01,1.321941e+00,3.000000e+00,4.044919e-01
2.773563e-01,1.321941e+00,3.000000e+00,4.084409e-01
2.855592e-01,1.321941e+00,3.000000e+00,4.124285e-01
2.940048e-01,1.321941e+00,3.000000e+00,4.164550e-01
3.027002e-01,1.321941e+00,3.000000e+00,4.205208e-01
3.116527e-01,1.321941e+00,3.000000e+00,4.246263e-01
3.208700e-01,1.321941e+00,3.000000e+00,4.287719e-01
3.303599e-01,1.321941e+00,3.000000e+00,4.329579e-01
3.401305e-01,1.321941e+00,3.000000e+00,4.371849e-01
3.501900e-01,1.321941e+00,3.000000e+00,4.414531e-01
3.605471e-01,1.321941e+00,3.000000e+00,4.457629e-01
3.712105e-01,1.321941e+00,3.000000e+00,4.501149e-01
3.821893e-01,1.321941e+00,3.000000e+00,4.545093e-01
3.934927e-01,1.321941e+00,3.000000e+00,4.589466e-01
4.051305e-01,1.321941e+00,3.000000e+00,4.634273e-01
4.171125e-01,1.321941e+00,3.000000e+00,4.679516e-01
4.294488e-01,1.321941e+00,3.000000e+00,4.725202e-01
4.421500e-01,1.321941e+00,3.000000e+00,4.771334e-01
4.552268e-01,1.321941e+00,3.000000e+00,4.817916e-01
4.686904e-01,1.321941e+00,3.000000e+00,4.864953e-01
4.825522e-01,1.321941e+00,3.000000e+00,4.912449e-01
4.968240e-01,1.321941e+00,3.000000e+00,4.960408e-01
5.115178e-01,1.321941e+00,3.000000e+00,5.008836e-01
5.266462e-01,1.321941e+00,3.000000e+00,5.057737e-01
5.422221e-01,1.321941e+00,3.000000e+00,5.107115e-01
5.582586e-01,1.321941e+00,3.000000e+00,5.156976e-01
5.747694e-01,1.321941e+00,3.000000e+00,5.207323e-01
5.917686e-01,1.321941e+00,3.000000e+00,5.258161e-01
6.092705e-01,1.321941e+00,3.000000e+00,5.309496e-01
6.272900e-01,1.321941e+00,3.000000e+00,5.361332e-01
6.458424e-01,1.321941e+00,3.000000e+00,5.413674e-01
6.649436e-01,1.321941e+00,3.000000e+00,5.466527e-01
6.846097e-01,1.321941e+00,3.000000e+00,5.519897e-01
7.048574e-01,1.321941e+00,3.000000e+00,5.573787e-01
7.257040e-01,1.321941e+00,3.000000e+00,5.628203e-01
7.471671e-01,1.321941e+00,3.000000e+00,5.683151e-01
7.692650e-01,1.321941e+00,3.000000e+00,5.738635e-01
7.920164e-01,1.321941e+00,3.000000e+00,5.794660e-01
8.154407e-01,1.321941e+00,3.000000e+00,5.851233e-01
8.395579e-01,1.321941e+00,3.000000e+00,5.908358e-01
8.643883e-01,1.321941e+00,3.000000e+00,5.966041e-01
8.899530e-01,1.321941e+00,3.000000e+00,6.024287e-01
9.162739e-01,1.321941e+00,3.000000e+00,6.083101e-01
9.433732e-01,1.321941e+00,3.000000e+00,6.142490e-01
9.712740e-01,1.321941e+00,3.000000e+00,6.202458e-01
1.000000e+00,1.321941e+00,3.000000e+00,6.263012e-01
1.000000e-01,1.417474e+00,3.000000e+00,2.840200e-01
1.029576e-01,1.417474e+00,3.000000e+00,2.867929e-01
1.060026e-01,1.417474e+00,3.000000e+00,2.895928e-01
1.091377e-01,1.417474e+00,3.000000e+00,2.924200e-01
1.123655e-01,1.417474e+00,3.000000e+00,2.952749e-01
1.156888e-01,1.417474e+00,3.000000e+00,2.981577e-01
1.191103e-01,1.417474e+00,3.000000e+00,3.010685e-01
1.226331e-01,1.417474e+00,3.000000e+00,3.040078e-01
1.262600e-01,1.417474e+00,3.000000e+00,3.069758e-01
1.299942e-01,1.417474e+00,3.000000e+00,3.099728e-01
1.338389e-01,1.417474e+00,3.000000e+00,3.129990e-01
1.377972e-01,1.417474e+00,3.000000e+00,3.160548e-01
1.418727e-01,1.417474e+00,3.000000e+00,3.191404e-01
1.460686e-01,1.417474e+00,3.000000e+00,3.222562e-01
1.503887e-01,1.417474e+00,3.000000e+00,3.254023e-01
1.548365e-01,1.417474e+00,3.000000e+00,3.285792e-01
1.594159e-01,1.417474e+00,3.000000e+00,3.317871e-01
1.641307e-01,1.417474e+00,3.000000e+00,3.350263e-01
1.689850e-01,1.417474e+00,3.000000e+00,3.382971e-01
1.739828e-01,1.417474e+00,3.000000e+00,3.415999e-01
1.791284e-01,1.417474e+00,3.000000e+00,3.449349e-01
1.844263e-01,1.417474e+00,3.000000e+00,3.483024e-01
1.898808e-01,1.417474e+00,3.000000e+00,3.517029e-01
1.954966e-01,1.417474e+00,3.000000e+00,3.551365e-01
2.012785e-01,1.417474e+00,3.000000e+00,3.586037e-01
2.072315e-01,1.417474e+00,3.000000e+00,3.621047e-01
2.133605e-01,1.417474e+00,3.000000e+00,3.656399e-01
2.196707e-01,1.417474e+00,3.000000e+00,3.692096e-01
2.261676e-01,1.417474e+00,3.000000e+00,3.728141e-01
2.328566e-01,1.417474e+00,3.000000e+00,3.764539e-01
2.397435e-01,1.417474e+00,3.000000e+00,3.801292e-01
2.468340e-01,1.417474e+00,3.000000e+00,3.838403e-01
2.541343e-01,1.417474e+00,3.000000e+00,3.875877e-01
2.616505e-01,1.417474e+00,3.000000e+00,3.913717e-01
