time,energy_ec,energy_explicit,dE_ec_percent,dE_explicit_percent
2.23000000e+01,4.10977861e-02,7.25184150e-02,3.31117853e-05,7.64533956e+01
2.24000000e+01,4.10977861e-02,7.39872482e-02,3.31117521e-05,8.00273928e+01
2.25000000e+01,4.10977861e-02,7.51224612e-02,3.31117589e-05,8.27896178e+01
2.26000000e+01,4.10977861e-02,7.62739114e-02,3.31117558e-05,8.55913518e+01
2.27000000e+01,4.10977861e-02,7.70970994e-02,3.31117179e-05,8.75943507e+01
2.28000000e+01,4.10977861e-02,7.78433264e-02,3.31116835e-05,8.94100867e+01
2.29000000e+01,4.10977861e-02,7.90207831e-02,3.31117466e-05,9.22751002e+01
2.30000000e+01,4.10977861e-02,8.05441319e-02,3.31118562e-05,9.59817458e+01
2.31000000e+01,4.10977861e-02,8.27801787e-02,3.31118805e-05,1.01422544e+02
2.32000000e+01,4.10977861e-02,8.46889515e-02,3.31119313e-05,1.06067012e+02
2.33000000e+01,4.10977861e-02,8.56029262e-02,3.31119251e-05,1.08290915e+02
2.34000000e+01,4.10977861e-02,8.48226373e-02,3.31119583e-05,1.06392299e+02
2.35000000e+01,4.10977861e-02,8.17360394e-02,3.31119896e-05,9.88819211e+01
2.36000000e+01,4.10977707e-02,7.69045799e-02,-4.29713314e-06,8.71259080e+01
2.37000000e+01,4.10977707e-02,7.23000125e-02,-4.29712981e-06,7.59219738e+01
2.38000000e+01,4.10977845e-02,6.88245731e-02,2.93000829e-05,6.74654585e+01
2.39000000e+01,4.10977845e-02,6.73426095e-02,2.93000762e-05,6.38595123e+01
2.40000000e+01,4.10978157e-02,6.79385777e-02,1.05177527e-04,6.53096352e+01
2.41000000e+01,4.10978157e-02,7.01497527e-02,1.05177493e-04,7.06899146e+01
2.42000000e+01,4.10978388e-02,7.28881617e-02,1.61367035e-04,7.73530713e+01
2.43000000e+01,4.10978666e-02,7.55257177e-02,2.28997651e-04,8.37708304e+01
2.44000000e+01,4.10979094e-02,7.79265551e-02,3.33198895e-04,8.96126005e+01
2.45000000e+01,4.10979343e-02,8.01437010e-02,3.93947304e-04,9.50074085e+01
2.46000000e+01,4.10979343e-02,8.22310415e-02,3.93947304e-04,1.00086371e+02
2.47000000e+01,4.10979490e-02,8.39616973e-02,4.29705368e-04,1.04297441e+02
2.48000000e+01,4.10979678e-02,8.44661661e-02,4.75265879e-04,1.05524925e+02
2.49000000e+01,4.10979678e-02,8.36382459e-02,4.75265875e-04,1.03510412e+02
2.50000000e+01,4.10979678e-02,8.16047657e-02,4.75265886e-04,9.85625031e+01
2.51000000e+01,4.10979678e-02,7.86992156e-02,4.75265884e-04,9.14926550e+01
2.52000000e+01,4.10979678e-02,7.51891017e-02,4.75265921e-04,8.29517691e+01
2.53000000e+01,4.10979589e-02,7.23589941e-02,4.53619847e-04,7.60654892e+01
2.54000000e+01,4.10979589e-02,7.11503720e-02,4.53619862e-04,7.31246435e+01
2.55000000e+01,4.10979589e-02,7.18531190e-02,4.53619872e-04,7.48345827e+01
2.56000000e+01,4.10979492e-02,7.40450966e-02,4.29975806e-04,8.01681507e+01
2.57000000e+01,4.10979381e-02,7.66222338e-02,4.03192305e-04,8.64388974e+01
2.58000000e+01,4.10979338e-02,7.79184723e-02,3.92685203e-04,8.95929334e+01
2.59000000e+01,4.10979338e-02,7.78547287e-02,3.92685206e-04,8.94378311e+01
