time,energy_ec,energy_explicit,dE_ec_percent,dE_explicit_percent
1.95000000e+01,1.18291334e+04,8.96292151e+03,1.41939851e-06,-2.42301079e+01
2.00000000e+01,1.18291334e+04,2.15842100e+03,1.42847235e-06,-8.17533461e+01
2.05000000e+01,1.18291334e+04,5.14160791e+03,1.43753721e-06,-5.65343648e+01
2.10000000e+01,1.18291334e+04,9.47524296e+03,1.44331127e-06,-1.98990936e+01
2.15000000e+01,1.18291334e+04,3.41322182e+03,1.44377274e-06,-7.11456305e+01
2.20000000e+01,1.18291334e+04,3.62923695e+03,1.44735795e-06,-6.93195024e+01
2.25000000e+01,1.18291334e+04,9.23834756e+03,1.45768704e-06,-2.19017373e+01
2.30000000e+01,1.18291334e+04,4.97298580e+03,1.46155212e-06,-5.79598463e+01
2.35000000e+01,1.18291334e+04,2.63018376e+03,1.45817737e-06,-7.77652030e+01
2.40000000e+01,1.18291334e+04,8.32429242e+03,1.45817739e-06,-2.96288896e+01
2.45000000e+01,1.18291334e+04,6.45670553e+03,1.46244040e-06,-4.54169178e+01
2.50000000e+01,1.18291334e+04,2.26529810e+03,1.50484321e-06,-8.08498387e+01
2.55000000e+01,1.18291334e+04,6.93888005e+03,1.50633069e-06,-4.13407568e+01
2.60000000e+01,1.18291334e+04,7.55634098e+03,1.51197577e-06,-3.61209243e+01
2.65000000e+01,1.18291334e+04,2.67700554e+03,1.51345655e-06,-7.73693855e+01
2.70000000e+01,1.18291334e+04,5.48669327e+03,1.50108281e-06,-5.36171150e+01
2.75000000e+01,1.18291334e+04,8.07765387e+03,1.49893639e-06,-3.17138991e+01
2.80000000e+01,1.18291334e+04,3.62054148e+03,1.51344815e-06,-6.93930113e+01
2.85000000e+01,1.18291334e+04,4.18549632e+03,1.49795879e-06,-6.46170499e+01
2.90000000e+01,1.18291334e+04,7.94913866e+03,1.51166069e-06,-3.28003287e+01
2.95000000e+01,1.18291334e+04,4.73354230e+03,1.55604202e-06,-5.99840309e+01
3.00000000e+01,1.18291334e+04,3.36008002e+03,1.56584556e-06,-7.15948756e+01
3.05000000e+01,1.18291334e+04,7.42758375e+03,1.59837353e-06,-3.72094000e+01
3.10000000e+01,1.18291334e+04,5.88366971e+03,1.59972443e-06,-5.02611934e+01
3.15000000e+01,1.18291334e+04,3.12197642e+03,1.57672276e-06,-7.36077331e+01
3.20000000e+01,1.18291334e+04,6.37790544e+03,1.49782256e-06,-4.60830704e+01
3.25000000e+01,1.18291334e+04,6.77110606e+03,1.50233277e-06,-4.27590686e+01
3.30000000e+01,1.18291334e+04,3.40434965e+03,1.52777715e-06,-7.12206332e+01
3.35000000e+01,1.18291334e+04,5.21082004e+03,1.57838577e-06,-5.59492659e+01
3.40000000e+01,1.18291335e+04,7.29894501e+03,1.76630399e-06,-3.82968739e+01
3.45000000e+01,1.18291335e+04,4.15777895e+03,1.81531827e-06,-6.48513643e+01
3.50000000e+01,1.18291335e+04,4.21580181e+03,1.85794582e-06,-6.43608562e+01
3.55000000e+01,1.18291335e+04,7.24507923e+03,1.85821140e-06,-3.87522393e+01
3.60000000e+01,1.18291335e+04,5.04356750e+03,1.86245779e-06,-5.73631695e+01
3.65000000e+01,1.18291335e+04,3.69149006e+03,1.87974748e-06,-6.87932329e+01
3.70000000e+01,1.18291335e+04,6.75407884e+03,1.87638245e-06,-4.29030116e+01
3.75000000e+01,1.18291335e+04,5.94315701e+03,1.87467323e-06,-4.97583053e+01
3.80000000e+01,1.18291335e+04,3.61590829e+03,1.88464818e-06,-6.94321789e+01
3.85000000e+01,1.18291335e+04,5.91596979e+03,1.87832639e-06,-4.99881381e+01
3.90000000e+01,1.18291335e+04,6.60774293e+03,1.88103215e-06,-4.41400922e+01
3.95000000e+01,1.18291335e+04,3.92351609e+03,1.88267087e-06,-6.68317534e+01
4.00000000e+01,1.18291335e+04,4.98498550e+03,1.88424216e-06,-5.78584044e+01
4.05000000e+01,1.18291335e+04,6.93354316e+03,1.88437094e-06,-4.13858733e+01
4.10000000e+01,1.18291335e+04,4.58874920e+03,1.88588948e-06,-6.12080691e+01
4.15000000e+01,1.18291335e+04,4.29540375e+03,1.88665970e-06,-6.36879249e+01
4.20000000e+01,1.18291335e+04,6.69029769e+03,1.88881452e-06,-4.34421986e+01
4.25000000e+01,1.18291335e+04,5.52305807e+03,1.89828162e-06,-5.33096978e+01
4.30000000e+01,1.18291335e+04,3.87027736e+03,1.98642551e-06,-6.72818179e+01
4.35000000e+01,1.18291335e+04,6.01039801e+03,2.08005026e-06,-4.91898698e+01
4.40000000e+01,1.18291335e+04,6.25312846e+03,2.09209510e-06,-4.71378982e+01
4.45000000e+01,1.18291335e+04,4.05561278e+03,2.06408478e-06,-6.57150470e+01
4.50000000e+01,1.18291335e+04,5.09392130e+03,2.31771992e-06,-5.69374933e+01
4.55000000e+01,1.18291335e+04,6.84364470e+03,2.32713447e-06,-4.21458483e+01
4.60000000e+01,1.18291335e+04,4.50849861e+03,2.31919042e-06,-6.18864839e+01
4.65000000e+01,1.18291335e+04,4.32702698e+03,2.37042936e-06,-6.34205915e+01
4.70000000e+01,1.18291335e+04,6.82910689e+03,2.46248519e-06,-4.22687466e+01
4.75000000e+01,1.18291335e+04,5.29751025e+03,2.47836080e-06,-5.52164124e+01
4.80000000e+01,1.18291335e+04,3.79734019e+03,2.47554854e-06,-6.78984072e+01
4.85000000e+01,1.18291336e+04,6.54636761e+03,2.50927564e-06,-4.46589410e+01
4.90000000e+01,1.18291336e+04,6.21263095e+03,2.52444217e-06,-4.74802522e+01
4.95000000e+01,1.18291336e+04,3.66414512e+03,2.52407251e-06,-6.90243990e+01
5.00000000e+01,1.18291336e+04,5.72645082e+03,2.50965830e-06,-5.15902755e+01
5.05000000e+01,1.18291336e+04,7.03680108e+03,2.54758967e-06,-4.05129613e+01
5.10000000e+01,1.18291336e+04,3.92977881e+03,2.54954657e-06,-6.67788102e+01
5.15000000e+01,1.18291336e+04,4.75044597e+03,2.54755235e-06,-5.98411323e+01
5.20000000e+01,1.18291336e+04,7.46182699e+03,2.54817290e-06,-3.69199177e+01
5.25000000e+01,1.18291336e+04,4.72633314e+03,2.54816595e-06,-6.00449751e+01
5.30000000e+01,1.18291336e+04,3.80534163e+03,2.58912930e-06,-6.78307654e+01
5.35000000e+01,1.18291336e+04,7.44300476e+03,2.60545636e-06,-3.70790353e+01
5.40000000e+01,1.18291336e+04,5.69657137e+03,2.61461736e-06,-5.18428675e+01
5.45000000e+01,1.18291336e+04,3.24943454e+03,2.61521919e-06,-7.25302398e+01
5.50000000e+01,1.18291336e+04,6.74013009e+03,2.61452602e-06,-4.30209303e+01
5.55000000e+01,1.18291336e+04,6.77736279e+03,2.60961090e-06,-4.27061759e+01
5.60000000e+01,1.18291336e+04,3.11066385e+03,2.60517179e-06,-7.37033663e+01
5.65000000e+01,1.18291336e+04,5.66351724e+03,2.60484723e-06,-5.21222974e+01
5.70000000e+01,1.18291336e+04,7.74683612e+03,2.59953421e-06,-3.45105346e+01
5.75000000e+01,1.18291336e+04,3.39277968e+03,2.62849916e-06,-7.13184423e+01
5.80000000e+01,1.18291336e+04,4.54151869e+03,2.63555599e-06,-6.16073419e+01
5.85000000e+01,1.18291336e+04,8.16582511e+03,2.63636555e-06,-3.09685255e+01
5.90000000e+01,1.18291336e+04,4.39727307e+03,2.63896213e-06,-6.28267517e+01
5.95000000e+01,1.18291336e+04,3.36913299e+03,2.64009471e-06,-7.15183444e+01
6.00000000e+01,1.18291336e+04,8.00630363e+03,2.65244909e-06,-3.23170730e+01
6.05000000e+01,1.18291336e+04,5.58040724e+03,2.65743942e-06,-5.28248848e+01
6.10000000e+01,1.18291336e+04,2.61907673e+03,2.65832837e-06,-7.78590986e+01
6.15000000e+01,1.18291336e+04,7.24038378e+03,2.66464602e-06,-3.87919332e+01
6.20000000e+01,1.18291336e+04,6.87670335e+03,2.69720745e-06,-4.18663802e+01
6.25000000e+01,1.18291336e+04,2.31845318e+03,2.68665434e-06,-8.04004813e+01
6.30000000e+01,1.18291336e+04,6.02387497e+03,2.68813649e-06,-4.90759395e+01
6.35000000e+01,1.18291336e+04,7.98435054e+03,2.68778755e-06,-3.25026579e+01
6.40000000e+01,1.18291336e+04,2.74761487e+03,2.68556857e-06,-7.67724752e+01
6.45000000e+01,1.18291336e+04,4.58191733e+03,2.67915667e-06,-6.12658237e+01
6.50000000e+01,1.18291336e+04,8.74861565e+03,2.68064383e-06,-2.60417863e+01
6.55000000e+01,1.18291336e+04,3.86984496e+03,2.67677749e-06,-6.72854733e+01
6.60000000e+01,1.18291336e+04,3.23493586e+03,2.67644817e-06,-7.26528073e+01
6.65000000e+01,1.18291336e+04,8.64234346e+03,2.67625694e-06,-2.69401800e+01
6.70000000e+01,1.18291336e+04,5.37870915e+03,2.67287147e-06,-5.45299809e+01
6.75000000e+01,1.18291336e+04,2.14528635e+03,2.67751884e-06,-8.18643826e+01
6.80000000e+01,1.18291336e+04,7.91343976e+03,2.68478125e-06,-3.31021167e+01
6.85000000e+01,1.18291336e+04,6.95216630e+03,2.68635123e-06,-4.12284387e+01
6.90000000e+01,1.18291336e+04,1.81239191e+03,2.68752445e-06,-8.46785739e+01
6.95000000e+01,1.18291336e+04,6.55971569e+03,2.68895017e-06,-4.45461003e+01
7.00000000e+01,1.18291336e+04,8.39270353e+03,2.68825208e-06,-2.90505623e+01
7.05000000e+01,1.18291336e+04,2.19714366e+03,2.68966168e-06,-8.14259962e+01
7.10000000e+01,1.18291336e+04,4.88920805e+03,2.69008404e-06,-5.86680787e+01
7.15000000e+01,1.18291336e+04,9.27993059e+03,2.69001475e-06,-2.15502066e+01
7.20000000e+01,1.18291336e+04,3.23878882e+03,2.68993848e-06,-7.26202356e+01
7.25000000e+01,1.18291336e+04,3.22599952e+03,2.69143736e-06,-7.27283526e+01
7.30000000e+01,1.18291336e+04,9.33189846e+03,2.68920004e-06,-2.11108856e+01
7.35000000e+01,1.18291336e+04,4.81698483e+03,2.69012664e-06,-5.92786325e+01
7.40000000e+01,1.18291336e+04,1.90992951e+03,2.68942388e-06,-8.38540199e+01
7.45000000e+01,1.18291336e+04,8.75840930e+03,2.69050599e-06,-2.59589936e+01
