time,dE_tol_1e-05_percent,dE_tol_1e-07_percent,dE_tol_1e-09_percent
1.05000000e+01,1.62511416e-02,4.86661646e-05,-8.63379345e-09
1.06000000e+01,1.89659625e-02,4.86747501e-05,-8.05448129e-11
1.07000000e+01,2.22132095e-02,4.86782920e-05,3.46015524e-09
1.08000000e+01,2.42027889e-02,4.86854340e-05,1.05640863e-08
1.09000000e+01,2.60101630e-02,4.86918786e-05,1.69881085e-08
1.10000000e+01,2.64895198e-02,4.87019641e-05,2.70823332e-08
1.11000000e+01,2.82090394e-02,4.87022871e-05,2.74249185e-08
1.12000000e+01,2.96501383e-02,4.87054541e-05,3.05732325e-08
1.13000000e+01,3.00538715e-02,4.87093445e-05,3.45355617e-08
1.14000000e+01,3.00343303e-02,4.87171988e-05,4.23222011e-08
1.15000000e+01,2.99182426e-02,4.87221580e-05,4.72405109e-08
1.16000000e+01,3.01342776e-02,4.87243639e-05,4.95334578e-08
1.17000000e+01,3.04534147e-02,4.87247957e-05,4.99903337e-08
1.18000000e+01,3.10898668e-02,4.87245985e-05,4.98208793e-08
1.19000000e+01,3.15488645e-02,4.87245478e-05,4.97713821e-08
1.20000000e+01,3.14805609e-02,4.87247275e-05,4.99572288e-08
1.21000000e+01,3.13181544e-02,-1.12215660e-04,4.99679040e-08
1.22000000e+01,3.12138718e-02,-1.12215650e-04,4.99775505e-08
1.23000000e+01,3.11462518e-02,-1.82237471e-04,4.99912276e-08
1.24000000e+01,3.11666298e-02,-1.87243206e-04,5.00152257e-08
1.25000000e+01,3.09883320e-02,-3.78403469e-04,5.00279078e-08
1.26000000e+01,3.08177932e-02,-3.78403424e-04,5.00718904e-08
1.27000000e+01,3.06107197e-02,-3.78403408e-04,5.00879286e-08
1.28000000e+01,3.04812835e-02,-3.78403361e-04,5.01364140e-08
1.29000000e+01,3.02641621e-02,-3.78403311e-04,5.01809531e-08
1.30000000e+01,3.02348896e-02,-3.78403189e-04,5.02841469e-08
1.31000000e+01,3.00742586e-02,-3.78403124e-04,5.03462083e-08
1.32000000e+01,2.99638163e-02,-3.78403135e-04,5.03450277e-08
1.33000000e+01,2.96173315e-02,-3.78403018e-04,5.03998205e-08
1.34000000e+01,3.00560522e-02,-3.78402884e-04,5.05268270e-08
1.35000000e+01,2.99792005e-02,-3.78402970e-04,5.04598075e-08
1.36000000e+01,3.05587486e-02,-3.78403084e-04,5.03877961e-08
1.37000000e+01,3.13905900e-02,-3.78403001e-04,5.04766720e-08
1.38000000e+01,3.20360623e-02,-3.78403046e-04,5.04338362e-08
1.39000000e+01,3.30027517e-02,-3.78402897e-04,5.05101648e-08
1.40000000e+01,3.37171690e-02,-3.78402995e-04,5.04422684e-08
1.41000000e+01,3.48146862e-02,-3.78402903e-04,5.06132238e-08
1.42000000e+01,3.56581030e-02,-3.78402888e-04,5.06234774e-08
1.43000000e+01,3.67169927e-02,-3.78402724e-04,5.06831271e-08
1.44000000e+01,3.75719354e-02,-3.78402704e-04,5.07153045e-08
1.45000000e+01,3.83427368e-02,-3.78402479e-04,5.09459939e-08
1.46000000e+01,3.90690097e-02,-3.78402458e-04,5.09809203e-08
1.47000000e+01,3.95415744e-02,-3.78402322e-04,5.11163759e-08
1.48000000e+01,3.96828996e-02,-3.78402291e-04,5.11458719e-08
1.49000000e+01,3.97156483e-02,-3.78402284e-04,5.11527188e-08
1.50000000e+01,3.97966482e-02,-3.07142755e-04,5.11817764e-08
