time,Bz_k1_simulation,Bz_k1_linear_theory
8.15000000e+00,4.75388727e-03,5.45664887e-03
8.20000000e+00,4.72889949e-03,5.51700335e-03
8.25000000e+00,4.71219520e-03,5.57802540e-03
8.30000000e+00,4.70422952e-03,5.63972239e-03
8.35000000e+00,4.70541703e-03,5.70210179e-03
8.40000000e+00,4.71612997e-03,5.76517116e-03
8.45000000e+00,4.73669653e-03,5.82893811e-03
8.50000000e+00,4.76739909e-03,5.89341038e-03
8.55000000e+00,4.80847185e-03,5.95859576e-03
8.60000000e+00,4.86009939e-03,6.02450213e-03
8.65000000e+00,4.92241633e-03,6.09113748e-03
8.70000000e+00,4.99550679e-03,6.15850986e-03
8.75000000e+00,5.07940379e-03,6.22662743e-03
8.80000000e+00,5.17408929e-03,6.29549842e-03
8.85000000e+00,5.27949467e-03,6.36513118e-03
8.90000000e+00,5.39550050e-03,6.43553413e-03
8.95000000e+00,5.52193685e-03,6.50671579e-03
9.00000000e+00,5.65858426e-03,6.57868477e-03
9.05000000e+00,5.80517494e-03,6.65144977e-03
9.10000000e+00,5.96139483e-03,6.72501961e-03
9.15000000e+00,6.12688582e-03,6.79940319e-03
9.20000000e+00,6.30124736e-03,6.87460950e-03
9.25000000e+00,6.48403863e-03,6.95064765e-03
9.30000000e+00,6.67478091e-03,7.02752683e-03
9.35000000e+00,6.87296029e-03,7.10525636e-03
9.40000000e+00,7.07803053e-03,7.18384562e-03
9.45000000e+00,7.28941586e-03,7.26330415e-03
9.50000000e+00,7.50651337e-03,7.34364154e-03
9.55000000e+00,7.72869559e-03,7.42486752e-03
9.60000000e+00,7.95531439e-03,7.50699192e-03
9.65000000e+00,8.18570470e-03,7.59002467e-03
9.70000000e+00,8.41918831e-03,7.67397583e-03
9.75000000e+00,8.65507782e-03,7.75885554e-03
9.80000000e+00,8.89268034e-03,7.84467409e-03
9.85000000e+00,9.13130090e-03,7.93144186e-03
9.90000000e+00,9.37024554e-03,8.01916933e-03
9.95000000e+00,9.60882485e-03,8.10786714e-03
1.00000000e+01,9.84635819e-03,8.19754601e-03
1.00500000e+01,1.00821770e-02,8.28821679e-03
1.01000000e+01,1.03156282e-02,8.37989045e-03
1.01500000e+01,1.05460782e-02,8.47257810e-03
1.02000000e+01,1.07729173e-02,8.56629093e-03
1.02500000e+01,1.09955613e-02,8.66104030e-03
1.03000000e+01,1.12134548e-02,8.75683766e-03
1.03500000e+01,1.14260745e-02,8.85369461e-03
1.04000000e+01,1.16329317e-02,8.95162287e-03
1.04500000e+01,1.18335747e-02,9.05063428e-03
1.05000000e+01,1.20275920e-02,9.15074084e-03
1.05500000e+01,1.22146149e-02,9.25195464e-03
1.06000000e+01,1.23943191e-02,9.35428795e-03
1.06500000e+01,1.25664262e-02,9.45775313e-03
1.07000000e+01,1.27307045e-02,9.56236271e-03
1.07500000e+01,1.28869703e-02,9.66812935e-03
1.08000000e+01,1.30350888e-02,9.77506585e-03
1.08500000e+01,1.31749760e-02,9.88318514e-03
1.09000000e+01,1.33065988e-02,9.99250030e-03
1.09500000e+01,1.34299751e-02,1.01030246e-02
1.10000000e+01,1.35451743e-02,1.02147713e-02
1.10500000e+01,1.36523176e-02,1.03277541e-02
1.11000000e+01,1.37515771e-02,1.04419865e-02
1.11500000e+01,1.38431749e-02,1.05574824e-02
1.12000000e+01,1.39273819e-02,1.06742558e-02
1.12500000e+01,1.40045147e-02,1.07923208e-02
1.13000000e+01,1.40749345e-02,1.09116916e-02
1.13500000e+01,1.41390453e-02,1.10323828e-02
1.14000000e+01,1.41972929e-02,1.11544090e-02
1.14500000e+01,1.42501634e-02,1.12777848e-02
1.15000000e+01,1.42981796e-02,1.14025252e-02
1.15500000e+01,1.43418989e-02,1.15286454e-02
1.16000000e+01,1.43819101e-02,1.16561605e-02
1.16500000e+01,1.44188305e-02,1.17850861e-02
1.17000000e+01,1.44533030e-02,1.19154377e-02
1.17500000e+01,1.44859928e-02,1.20472310e-02
1.18000000e+01,1.45175850e-02,1.21804821e-02
1.18500000e+01,1.45487802e-02,1.23152070e-02
1.19000000e+01,1.45802912e-02,1.24514221e-02
1.19500000e+01,1.46128395e-02,1.25891438e-02
1.20000000e+01,1.46471520e-02,1.27283889e-02
1.20500000e+01,1.46839574e-02,1.28691740e-02
1.21000000e+01,1.47239820e-02,1.30115164e-02
1.21500000e+01,1.47679459e-02,1.31554332e-02
1.22000000e+01,1.48165591e-02,1.33009418e-02
1.22500000e+01,1.48705175e-02,1.34480598e-02
1.23000000e+01,1.49305004e-02,1.35968050e-02
1.23500000e+01,1.49971665e-02,1.37471955e-02
1.24000000e+01,1.50711509e-02,1.38992494e-02
1.24500000e+01,1.51530620e-02,1.40529852e-02
1.25000000e+01,1.52434778e-02,1.42084214e-02
1.25500000e+01,1.53429422e-02,1.43655768e-02
1.26000000e+01,1.54519634e-02,1.45244704e-02
1.26500000e+01,1.55710123e-02,1.46851216e-02
1.27000000e+01,1.57005199e-02,1.48475496e-02
1.27500000e+01,1.58408739e-02,1.50117742e-02
1.28000000e+01,1.59924180e-02,1.51778153e-02
1.28500000e+01,1.61554505e-02,1.53456929e-02
1.29000000e+01,1.63302228e-02,1.55154274e-02
1.29500000e+01,1.65169376e-02,1.56870392e-02
1.30000000e+01,1.67157485e-02,1.58605492e-02
1.30500000e+01,1.69267595e-02,1.60359783e-02
1.31000000e+01,1.71500245e-02,1.62133478e-02
1.31500000e+01,1.73855465e-02,1.63926792e-02
1.32000000e+01,1.76332778e-02,1.65739940e-02
1.32500000e+01,1.78931199e-02,1.67573144e-02
1.33000000e+01,1.81649253e-02,1.69426624e-02
1.33500000e+01,1.84484990e-02,1.71300605e-02
1.34000000e+01,1.87436000e-02,1.73195313e-02
1.34500000e+01,1.90499416e-02,1.75110978e-02
1.35000000e+01,1.93671925e-02,1.77047832e-02
1.35500000e+01,1.96949782e-02,1.79006109e-02
1.36000000e+01,2.00328838e-02,1.80986046e-02
1.36500000e+01,2.03804556e-02,1.82987883e-02
1.37000000e+01,2.07372058e-02,1.85011861e-02
1.37500000e+01,2.11026150e-02,1.87058226e-02
1.38000000e+01,2.14761336e-02,1.89127225e-02
1.38500000e+01,2.18571852e-02,1.91219108e-02
1.39000000e+01,2.22451696e-02,1.93334130e-02
1.39500000e+01,2.26394660e-02,1.95472545e-02
1.40000000e+01,2.30394361e-02,1.97634613e-02
1.40500000e+01,2.34444275e-02,1.99820594e-02
1.41000000e+01,2.38537785e-02,2.02030754e-02
1.41500000e+01,2.42668218e-02,2.04265360e-02
1.42000000e+01,2.46828880e-02,2.06524683e-02
1.42500000e+01,2.51013088e-02,2.08808995e-02
1.43000000e+01,2.55214211e-02,2.11118573e-02
1.43500000e+01,2.59425698e-02,2.13453697e-02
1.44000000e+01,2.63641118e-02,2.15814649e-02
1.44500000e+01,2.67854190e-02,2.18201715e-02
1.45000000e+01,2.72058818e-02,2.20615184e-02
1.45500000e+01,2.76249135e-02,2.23055347e-02
1.46000000e+01,2.80419533e-02,2.25522501e-02
1.46500000e+01,2.84564687e-02,2.28016942e-02
1.47000000e+01,2.88679583e-02,2.30538975e-02
1.47500000e+01,2.92759541e-02,2.33088902e-02
1.48000000e+01,2.96800241e-02,2.35667034e-02
1.48500000e+01,3.00797745e-02,2.38273681e-02
1.49000000e+01,3.04748513e-02,2.40909160e-02
1.49500000e+01,3.08649440e-02,2.43573790e-02
1.50000000e+01,3.12497878e-02,2.46267892e-02
1.50500000e+01,3.16291660e-02,2.48991793e-02
1.51000000e+01,3.20029103e-02,2.51745822e-02
1.51500000e+01,3.23709005e-02,2.54530312e-02
1.52000000e+01,3.27330654e-02,2.57345602e-02
1.52500000e+01,3.30893828e-02,2.60192030e-02
1.53000000e+01,3.34398812e-02,2.63069942e-02
1.53500000e+01,3.37846392e-02,2.65979685e-02
1.54000000e+01,3.41237846e-02,2.68921613e-02
1.54500000e+01,3.44574946e-02,2.71896080e-02
1.55000000e+01,3.47859954e-02,2.74903447e-02
1.55500000e+01,3.51095623e-02,2.77944078e-02
1.56000000e+01,3.54285178e-02,2.81018340e-02
1.56500000e+01,3.57432300e-02,2.84126606e-02
1.57000000e+01,3.60541105e-02,2.87269252e-02
1.57500000e+01,3.63616127e-02,2.90446657e-02
1.58000000e+01,3.66662289e-02,2.93659207e-02
1.58500000e+01,3.69684871e-02,2.96907290e-02
1.59000000e+01,3.72689487e-02,3.00191299e-02
1.59500000e+01,3.75682064e-02,3.03511632e-02
1.60000000e+01,3.78668813e-02,3.06868690e-02
1.60500000e+01,3.81656204e-02,3.10262879e-02
1.61000000e+01,3.84650932e-02,3.13694611e-02
1.61500000e+01,3.87659884e-02,3.17164300e-02
1.62000000e+01,3.90690114e-02,3.20672366e-02
1.62500000e+01,3.93748805e-02,3.24219234e-02
1.63000000e+01,3.96843214e-02,3.27805333e-02
1.63500000e+01,3.99980633e-02,3.31431097e-02
1.64000000e+01,4.03168359e-02,3.35096964e-02
1.64500000e+01,4.06413654e-02,3.38803379e-02
1.65000000e+01,4.09723711e-02,3.42550789e-02
1.65500000e+01,4.13105636e-02,3.46339648e-02
1.66000000e+01,4.16566405e-02,3.50170415e-02
1.66500000e+01,4.20112832e-02,3.54043552e-02
1.67000000e+01,4.23751517e-02,3.57959530e-02
