t_over_tau_th,nr_frac_eps_0.0,nr_frac_eps_0.05,nr_frac_eps_0.1,nr_frac_eps_0.2,nr_frac_eps_0.3,nr_frac_eps_0.5
3.09309309e+01,1.11920997e-03,7.04622658e-04,5.46437972e-04,3.43750808e-04,2.06764267e-04,2.26115916e-05
3.12312312e+01,1.13007669e-03,7.11462934e-04,5.51742582e-04,3.47087912e-04,2.08771587e-04,2.28311237e-05
3.15315315e+01,1.14094342e-03,7.18303195e-04,5.57047181e-04,3.50425012e-04,2.10778906e-04,2.30506558e-05
3.18318318e+01,1.15181016e-03,7.25143443e-04,5.62351767e-04,3.53762106e-04,2.12786223e-04,2.32701879e-05
3.21321321e+01,1.16267691e-03,7.31983677e-04,5.67656342e-04,3.57099194e-04,2.14793538e-04,2.34897201e-05
3.24324324e+01,1.17354368e-03,7.38823897e-04,5.72960905e-04,3.60436277e-04,2.16800851e-04,2.37092523e-05
3.27327327e+01,1.18441045e-03,7.45664103e-04,5.78265457e-04,3.63773355e-04,2.18808163e-04,2.39287846e-05
3.30330330e+01,1.19527724e-03,7.52504296e-04,5.83569996e-04,3.67110428e-04,2.20815472e-04,2.41483169e-05
3.33333333e+01,1.20614404e-03,7.59344474e-04,5.88874524e-04,3.70447494e-04,2.22822779e-04,2.43678492e-05
3.36336336e+01,1.21701085e-03,7.66184638e-04,5.94179040e-04,3.73784556e-04,2.24830085e-04,2.45873816e-05
3.39339339e+01,1.22787767e-03,7.73024789e-04,5.99483544e-04,3.77121612e-04,2.26837389e-04,2.48069140e-05
3.42342342e+01,1.23874450e-03,7.79864926e-04,6.04788037e-04,3.80458663e-04,2.28844690e-04,2.50264465e-05
3.45345345e+01,1.24961135e-03,7.86705048e-04,6.10092517e-04,3.83795708e-04,2.30851990e-04,2.52459790e-05
3.48348348e+01,1.26047820e-03,7.93545157e-04,6.15396986e-04,3.87132748e-04,2.32859288e-04,2.54655115e-05
3.51351351e+01,1.27134507e-03,8.00385252e-04,6.20701443e-04,3.90469782e-04,2.34866584e-04,2.56850441e-05
3.54354354e+01,1.28221195e-03,8.07225334e-04,6.26005888e-04,3.93806811e-04,2.36873878e-04,2.59045767e-05
3.57357357e+01,1.29307884e-03,8.14065401e-04,6.31310322e-04,3.97143834e-04,2.38881170e-04,2.61241094e-05
3.60360360e+01,1.30394574e-03,8.20905454e-04,6.36614744e-04,4.00480853e-04,2.40888460e-04,2.63436421e-05
3.63363363e+01,1.31481265e-03,8.27745494e-04,6.41919153e-04,4.03817865e-04,2.42895749e-04,2.65631748e-05
3.66366366e+01,1.32567958e-03,8.34585519e-04,6.47223552e-04,4.07154873e-04,2.44903035e-04,2.67827076e-05
3.69369369e+01,1.33654651e-03,8.41425531e-04,6.52527938e-04,4.10491874e-04,2.46910320e-04,2.70022404e-05
3.72372372e+01,1.34741346e-03,8.48265529e-04,6.57832312e-04,4.13828871e-04,2.48917602e-04,2.72217733e-05
3.75375375e+01,1.35828042e-03,8.55105513e-04,6.63136675e-04,4.17165862e-04,2.50924883e-04,2.74413062e-05
3.78378378e+01,1.36914739e-03,8.61945483e-04,6.68441026e-04,4.20502848e-04,2.52932162e-04,2.76608391e-05
3.81381381e+01,1.38001437e-03,8.68785439e-04,6.73745365e-04,4.23839828e-04,2.54939439e-04,2.78803721e-05
3.84384384e+01,1.39088136e-03,8.75625381e-04,6.79049692e-04,4.27176803e-04,2.56946714e-04,2.80999051e-05
3.87387387e+01,1.40174837e-03,8.82465309e-04,6.84354008e-04,4.30513772e-04,2.58953987e-04,2.83194382e-05
3.90390390e+01,1.41261538e-03,8.89305224e-04,6.89658312e-04,4.33850736e-04,2.60961258e-04,2.85389713e-05
3.93393393e+01,1.42348241e-03,8.96145124e-04,6.94962604e-04,4.37187694e-04,2.62968527e-04,2.87585044e-05
3.96396396e+01,1.43434945e-03,9.02985011e-04,7.00266884e-04,4.40524647e-04,2.64975794e-04,2.89780376e-05
3.99399399e+01,1.44521650e-03,9.09824884e-04,7.05571152e-04,4.43861595e-04,2.66983060e-04,2.91975708e-05
4.02402402e+01,1.45608356e-03,9.16664743e-04,7.10875409e-04,4.47198537e-04,2.68990323e-04,2.94171040e-05
4.05405405e+01,1.46695063e-03,9.23504588e-04,7.16179654e-04,4.50535474e-04,2.70997585e-04,2.96366373e-05
4.08408408e+01,1.47781772e-03,9.30344419e-04,7.21483887e-04,4.53872406e-04,2.73004844e-04,2.98561706e-05
4.11411411e+01,1.48868481e-03,9.37184236e-04,7.26788108e-04,4.57209332e-04,2.75012102e-04,3.00757040e-05
4.14414414e+01,1.49955192e-03,9.44024039e-04,7.32092317e-04,4.60546252e-04,2.77019358e-04,3.02952374e-05
4.17417417e+01,1.51041904e-03,9.50863829e-04,7.37396515e-04,4.63883168e-04,2.79026612e-04,3.05147709e-05
4.20420420e+01,1.52128617e-03,9.57703604e-04,7.42700701e-04,4.67220077e-04,2.81033864e-04,3.07343044e-05
4.23423423e+01,1.53215331e-03,9.64543366e-04,7.48004875e-04,4.70556982e-04,2.83041114e-04,3.09538379e-05
4.26426426e+01,1.54302046e-03,9.71383113e-04,7.53309037e-04,4.73893881e-04,2.85048363e-04,3.11733714e-05
4.29429429e+01,1.55388762e-03,9.78222847e-04,7.58613187e-04,4.77230774e-04,2.87055609e-04,3.13929051e-05
4.32432432e+01,1.56475480e-03,9.85062567e-04,7.63917326e-04,4.80567662e-04,2.89062853e-04,3.16124387e-05
4.35435435e+01,1.57562198e-03,9.91902273e-04,7.69221453e-04,4.83904545e-04,2.91070096e-04,3.18319724e-05
4.38438438e+01,1.58648918e-03,9.98741965e-04,7.74525568e-04,4.87241422e-04,2.93077336e-04,3.20515061e-05
4.41441441e+01,1.59735639e-03,1.00558164e-03,7.79829671e-04,4.90578294e-04,2.95084575e-04,3.22710399e-05
4.44444444e+01,1.60822361e-03,1.01242131e-03,7.85133763e-04,4.93915160e-04,2.97091812e-04,3.24905737e-05
4.47447447e+01,1.61909084e-03,1.01926096e-03,7.90437842e-04,4.97252021e-04,2.99099047e-04,3.27101075e-05
4.50450450e+01,1.62995809e-03,1.02610059e-03,7.95741910e-04,5.00588877e-04,3.01106280e-04,3.29296414e-05
4.53453453e+01,1.64082534e-03,1.03294022e-03,8.01045966e-04,5.03925727e-04,3.03113511e-04,3.31491753e-05
4.56456456e+01,1.65169261e-03,1.03977983e-03,8.06350010e-04,5.07262572e-04,3.05120740e-04,3.33687093e-05
4.59459459e+01,1.66255989e-03,1.04661942e-03,8.11654043e-04,5.10599411e-04,3.07127967e-04,3.35882433e-05
4.62462462e+01,1.67342717e-03,1.05345900e-03,8.16958064e-04,5.13936245e-04,3.09135192e-04,3.38077773e-05
4.65465465e+01,1.68429447e-03,1.06029857e-03,8.22262072e-04,5.17273073e-04,3.11142416e-04,3.40273114e-05
4.68468468e+01,1.69516179e-03,1.06713812e-03,8.27566070e-04,5.20609896e-04,3.13149637e-04,3.42468455e-05
4.71471471e+01,1.70602911e-03,1.07397766e-03,8.32870055e-04,5.23946714e-04,3.15156857e-04,3.44663797e-05
4.74474474e+01,1.71689644e-03,1.08081719e-03,8.38174028e-04,5.27283526e-04,3.17164075e-04,3.46859139e-05
4.77477477e+01,1.72776379e-03,1.08765670e-03,8.43477990e-04,5.30620333e-04,3.19171290e-04,3.49054481e-05
4.80480480e+01,1.73863114e-03,1.09449620e-03,8.48781940e-04,5.33957134e-04,3.21178504e-04,3.51249824e-05
4.83483483e+01,1.74949851e-03,1.10133568e-03,8.54085878e-04,5.37293930e-04,3.23185716e-04,3.53445167e-05
4.86486486e+01,1.76036589e-03,1.10817515e-03,8.59389804e-04,5.40630721e-04,3.25192926e-04,3.55640511e-05
4.89489489e+01,1.77123328e-03,1.11501460e-03,8.64693719e-04,5.43967506e-04,3.27200134e-04,3.57835855e-05
4.92492492e+01,1.78210068e-03,1.12185405e-03,8.69997622e-04,5.47304286e-04,3.29207340e-04,3.60031199e-05
4.95495495e+01,1.79296810e-03,1.12869347e-03,8.75301513e-04,5.50641060e-04,3.31214545e-04,3.62226544e-05
4.98498498e+01,1.80383552e-03,1.13553289e-03,8.80605392e-04,5.53977829e-04,3.33221747e-04,3.64421889e-05
5.01501502e+01,1.81470296e-03,1.14237229e-03,8.85909259e-04,5.57314592e-04,3.35228948e-04,3.66617234e-05
5.04504505e+01,1.82557040e-03,1.14921167e-03,8.91213115e-04,5.60651350e-04,3.37236146e-04,3.68812580e-05
5.07507508e+01,1.83643786e-03,1.15605105e-03,8.96516958e-04,5.63988103e-04,3.39243343e-04,3.71007927e-05
5.10510511e+01,1.84730533e-03,1.16289040e-03,9.01820790e-04,5.67324850e-04,3.41250538e-04,3.73203273e-05
5.13513514e+01,1.85817281e-03,1.16972975e-03,9.07124610e-04,5.70661592e-04,3.43257731e-04,3.75398620e-05
5.16516517e+01,1.86904031e-03,1.17656908e-03,9.12428419e-04,5.73998328e-04,3.45264921e-04,3.77593968e-05
5.19519520e+01,1.87990781e-03,1.18340840e-03,9.17732215e-04,5.77335059e-04,3.47272111e-04,3.79789316e-05
5.22522523e+01,1.89077532e-03,1.19024770e-03,9.23036000e-04,5.80671785e-04,3.49279298e-04,3.81984664e-05
5.25525526e+01,1.90164285e-03,1.19708699e-03,9.28339773e-04,5.84008505e-04,3.51286483e-04,3.84180013e-05
5.28528529e+01,1.91251039e-03,1.20392626e-03,9.33643534e-04,5.87345219e-04,3.53293666e-04,3.86375362e-05
5.31531532e+01,1.92337794e-03,1.21076552e-03,9.38947284e-04,5.90681929e-04,3.55300848e-04,3.88570711e-05
5.34534535e+01,1.93424550e-03,1.21760477e-03,9.44251021e-04,5.94018632e-04,3.57308027e-04,3.90766061e-05
