t_over_tau_th, nr_over_ntot_with_avalanche, nr_over_ntot_without_avalanche
3.24162081e+01,7.11238864e-05,7.10897864e-05
3.26163082e+01,7.15631189e-05,7.15285966e-05
3.28164082e+01,7.20023538e-05,7.19674065e-05
3.30165083e+01,7.24415911e-05,7.24062163e-05
3.32166083e+01,7.28808308e-05,7.28450258e-05
3.34167084e+01,7.33200729e-05,7.32838352e-05
3.36168084e+01,7.37593174e-05,7.37226444e-05
3.38169085e+01,7.41985644e-05,7.41614534e-05
3.40170085e+01,7.46378137e-05,7.46002622e-05
3.42171086e+01,7.50770654e-05,7.50390708e-05
3.44172086e+01,7.55163196e-05,7.54778792e-05
3.46173087e+01,7.59555762e-05,7.59166874e-05
3.48174087e+01,7.63948351e-05,7.63554955e-05
3.50175088e+01,7.68340965e-05,7.67943033e-05
3.52176088e+01,7.72733602e-05,7.72331109e-05
3.54177089e+01,7.77126264e-05,7.76719184e-05
3.56178089e+01,7.81518950e-05,7.81107257e-05
3.58179090e+01,7.85911660e-05,7.85495327e-05
3.60180090e+01,7.90304394e-05,7.89883396e-05
3.62181091e+01,7.94697153e-05,7.94271463e-05
3.64182091e+01,7.99089935e-05,7.98659528e-05
3.66183092e+01,8.03482741e-05,8.03047591e-05
3.68184092e+01,8.07875571e-05,8.07435652e-05
3.70185093e+01,8.12268426e-05,8.11823711e-05
3.72186093e+01,8.16661304e-05,8.16211768e-05
3.74187094e+01,8.21054207e-05,8.20599823e-05
3.76188094e+01,8.25447134e-05,8.24987877e-05
3.78189095e+01,8.29840085e-05,8.29375928e-05
3.80190095e+01,8.34233059e-05,8.33763977e-05
3.82191096e+01,8.38626058e-05,8.38152025e-05
3.84192096e+01,8.43019081e-05,8.42540071e-05
3.86193097e+01,8.47412128e-05,8.46928114e-05
3.88194097e+01,8.51805199e-05,8.51316156e-05
3.90195098e+01,8.56198295e-05,8.55704196e-05
3.92196098e+01,8.60591414e-05,8.60092234e-05
3.94197099e+01,8.64984557e-05,8.64480270e-05
3.96198099e+01,8.69377725e-05,8.68868304e-05
3.98199100e+01,8.73770916e-05,8.73256336e-05
4.00200100e+01,8.78164132e-05,8.77644366e-05
4.02201101e+01,8.82557372e-05,8.82032395e-05
4.04202101e+01,8.86950635e-05,8.86420421e-05
4.06203102e+01,8.91343923e-05,8.90808445e-05
4.08204102e+01,8.95737235e-05,8.95196468e-05
4.10205103e+01,9.00130571e-05,8.99584489e-05
4.12206103e+01,9.04523931e-05,9.03972507e-05
4.14207104e+01,9.08917315e-05,9.08360524e-05
4.16208104e+01,9.13310723e-05,9.12748539e-05
4.18209105e+01,9.17704156e-05,9.17136552e-05
4.20210105e+01,9.22097612e-05,9.21524563e-05
4.22211106e+01,9.26491093e-05,9.25912572e-05
4.24212106e+01,9.30884597e-05,9.30300579e-05
4.26213107e+01,9.35278126e-05,9.34688584e-05
4.28214107e+01,9.39671678e-05,9.39076587e-05
4.30215108e+01,9.44065255e-05,9.43464589e-05
4.32216108e+01,9.48458856e-05,9.47852588e-05
4.34217109e+01,9.52852481e-05,9.52240585e-05
4.36218109e+01,9.57246130e-05,9.56628581e-05
4.38219110e+01,9.61639803e-05,9.61016575e-05
4.40220110e+01,9.66033500e-05,9.65404566e-05
4.42221111e+01,9.70427221e-05,9.69792556e-05
4.44222111e+01,9.74820967e-05,9.74180544e-05
4.46223112e+01,9.79214736e-05,9.78568530e-05
4.48224112e+01,9.83608529e-05,9.82956514e-05
4.50225113e+01,9.88002347e-05,9.87344496e-05
4.52226113e+01,9.92396189e-05,9.91732476e-05
4.54227114e+01,9.96790054e-05,9.96120454e-05
4.56228114e+01,1.00118394e-04,1.00050843e-04
4.58229115e+01,1.00557786e-04,1.00489641e-04
4.60230115e+01,1.00997180e-04,1.00928438e-04
4.62231116e+01,1.01436576e-04,1.01367235e-04
4.64232116e+01,1.01875974e-04,1.01806032e-04
4.66233117e+01,1.02315375e-04,1.02244828e-04
4.68234117e+01,1.02754779e-04,1.02683625e-04
4.70235118e+01,1.03194185e-04,1.03122421e-04
4.72236118e+01,1.03633593e-04,1.03561217e-04
4.74237119e+01,1.04073004e-04,1.04000013e-04
4.76238119e+01,1.04512417e-04,1.04438809e-04
4.78239120e+01,1.04951832e-04,1.04877604e-04
4.80240120e+01,1.05391250e-04,1.05316400e-04
4.82241121e+01,1.05830670e-04,1.05755195e-04
4.84242121e+01,1.06270093e-04,1.06193990e-04
4.86243122e+01,1.06709518e-04,1.06632784e-04
4.88244122e+01,1.07148946e-04,1.07071579e-04
4.90245123e+01,1.07588376e-04,1.07510373e-04
4.92246123e+01,1.08027808e-04,1.07949167e-04
4.94247124e+01,1.08467243e-04,1.08387961e-04
4.96248124e+01,1.08906680e-04,1.08826755e-04
4.98249125e+01,1.09346119e-04,1.09265549e-04
5.00250125e+01,1.09785561e-04,1.09704342e-04
5.02251126e+01,1.10225006e-04,1.10143135e-04
5.04252126e+01,1.10664452e-04,1.10581928e-04
5.06253127e+01,1.11103902e-04,1.11020721e-04
5.08254127e+01,1.11543353e-04,1.11459514e-04
5.10255128e+01,1.11982807e-04,1.11898306e-04
5.12256128e+01,1.12422264e-04,1.12337099e-04
