# Figure 4: Momentum evolution (relaxation equations)
# Columns: time[s], p_parallel[m0c], p_perpendicular[m0c], gamma, energy_MeV
time,p_parallel,p_perpendicular,gamma,energy_MeV
5.28552855e-02,1.11610309e+01,9.94695656e-01,1.12498014e+01,5.23763774e+00
5.32053205e-02,1.12018330e+01,9.94671672e-01,1.12902805e+01,5.25832253e+00
5.35553555e-02,1.12426350e+01,9.94647776e-01,1.13307619e+01,5.27900851e+00
5.39053905e-02,1.12834371e+01,9.94623966e-01,1.13712457e+01,5.29969566e+00
5.42554255e-02,1.13242391e+01,9.94600243e-01,1.14117317e+01,5.32038397e+00
5.46054605e-02,1.13650411e+01,9.94576606e-01,1.14522200e+01,5.34107343e+00
5.49554955e-02,1.14058432e+01,9.94553053e-01,1.14927105e+01,5.36176403e+00
5.53055306e-02,1.14466452e+01,9.94529585e-01,1.15332032e+01,5.38245575e+00
5.56555656e-02,1.14874472e+01,9.94506200e-01,1.15736980e+01,5.40314858e+00
5.60056006e-02,1.15282492e+01,9.94482898e-01,1.16141950e+01,5.42384252e+00
5.63556356e-02,1.15690512e+01,9.94459679e-01,1.16546942e+01,5.44453754e+00
5.67056706e-02,1.16098532e+01,9.94436542e-01,1.16951954e+01,5.46523364e+00
5.70557056e-02,1.16506552e+01,9.94413486e-01,1.17356988e+01,5.48593080e+00
5.74057406e-02,1.16914572e+01,9.94390511e-01,1.17762042e+01,5.50662902e+00
5.77557756e-02,1.17322592e+01,9.94367616e-01,1.18167116e+01,5.52732828e+00
5.81058106e-02,1.17730612e+01,9.94344800e-01,1.18572211e+01,5.54802858e+00
5.84558456e-02,1.18138632e+01,9.94322064e-01,1.18977326e+01,5.56872989e+00
5.88058806e-02,1.18546652e+01,9.94299406e-01,1.19382460e+01,5.58943222e+00
5.91559156e-02,1.18954671e+01,9.94276825e-01,1.19787614e+01,5.61013555e+00
5.95059506e-02,1.19362691e+01,9.94254322e-01,1.20192787e+01,5.63083987e+00
5.98559856e-02,1.19770710e+01,9.94231896e-01,1.20597980e+01,5.65154517e+00
6.02060206e-02,1.20178730e+01,9.94209545e-01,1.21003192e+01,5.67225144e+00
6.05560556e-02,1.20586749e+01,9.94187271e-01,1.21408422e+01,5.69295867e+00
6.09060906e-02,1.20994769e+01,9.94165071e-01,1.21813671e+01,5.71366685e+00
6.12561256e-02,1.21402788e+01,9.94142946e-01,1.22218938e+01,5.73437597e+00
6.16061606e-02,1.21810807e+01,9.94120896e-01,1.22624224e+01,5.75508603e+00
6.19561956e-02,1.22218826e+01,9.94098918e-01,1.23029528e+01,5.77579701e+00
6.23062306e-02,1.22626845e+01,9.94077014e-01,1.23434849e+01,5.79650889e+00
6.26562656e-02,1.23034864e+01,9.94055182e-01,1.23840189e+01,5.81722169e+00
6.30063006e-02,1.23442883e+01,9.94033422e-01,1.24245545e+01,5.83793538e+00
6.33563356e-02,1.23850902e+01,9.94011734e-01,1.24650920e+01,5.85864995e+00
6.37063706e-02,1.24258920e+01,9.93990117e-01,1.25056311e+01,5.87936540e+00
6.40564056e-02,1.24666939e+01,9.93968571e-01,1.25461719e+01,5.90008172e+00
6.44064406e-02,1.25074957e+01,9.93947094e-01,1.25867144e+01,5.92079890e+00
6.47564756e-02,1.25482975e+01,9.93925687e-01,1.26272586e+01,5.94151693e+00
6.51065107e-02,1.25890994e+01,9.93904349e-01,1.26678044e+01,5.96223580e+00
6.54565457e-02,1.26299012e+01,9.93883080e-01,1.27083519e+01,5.98295551e+00
6.58065807e-02,1.26707030e+01,9.93861879e-01,1.27489009e+01,6.00367605e+00
6.61566157e-02,1.27115048e+01,9.93840746e-01,1.27894516e+01,6.02439740e+00
6.65066507e-02,1.27523065e+01,9.93819680e-01,1.28300039e+01,6.04511956e+00
6.68566857e-02,1.27931083e+01,9.93798681e-01,1.28705577e+01,6.06584253e+00
6.72067207e-02,1.28339101e+01,9.93777748e-01,1.29111131e+01,6.08656629e+00
6.75567557e-02,1.28747118e+01,9.93756881e-01,1.29516700e+01,6.10729084e+00
6.79067907e-02,1.29155135e+01,9.93736080e-01,1.29922285e+01,6.12801617e+00
6.82568257e-02,1.29563152e+01,9.93715343e-01,1.30327885e+01,6.14874227e+00
6.86068607e-02,1.29971169e+01,9.93694672e-01,1.30733499e+01,6.16946913e+00
6.89568957e-02,1.30379186e+01,9.93674064e-01,1.31139129e+01,6.19019675e+00
6.93069307e-02,1.30787203e+01,9.93653521e-01,1.31544773e+01,6.21092512e+00
6.96569657e-02,1.31195220e+01,9.93633041e-01,1.31950431e+01,6.23165424e+00
7.00070007e-02,1.31603236e+01,9.93612623e-01,1.32356104e+01,6.25238409e+00
7.03570357e-02,1.32011253e+01,9.93592269e-01,1.32761792e+01,6.27311467e+00
7.07070707e-02,1.32419269e+01,9.93571976e-01,1.33167493e+01,6.29384597e+00
7.10571057e-02,1.32827285e+01,9.93551745e-01,1.33573209e+01,6.31457799e+00
7.14071407e-02,1.33235301e+01,9.93531575e-01,1.33978938e+01,6.33531072e+00
7.17571757e-02,1.33643316e+01,9.93511467e-01,1.34384681e+01,6.35604415e+00
7.21072107e-02,1.34051332e+01,9.93491419e-01,1.34790438e+01,6.37677827e+00
7.24572457e-02,1.34459347e+01,9.93471431e-01,1.35196208e+01,6.39751308e+00
7.28072807e-02,1.34867363e+01,9.93451502e-01,1.35601991e+01,6.41824858e+00
7.31573157e-02,1.35275378e+01,9.93431634e-01,1.36007788e+01,6.43898475e+00
7.35073507e-02,1.35683393e+01,9.93411824e-01,1.36413598e+01,6.45972159e+00
7.38573857e-02,1.36091407e+01,9.93392073e-01,1.36819421e+01,6.48045909e+00
7.42074207e-02,1.36499422e+01,9.93372379e-01,1.37225257e+01,6.50119725e+00
7.45574557e-02,1.36907436e+01,9.93352744e-01,1.37631105e+01,6.52193607e+00
7.49074907e-02,1.37315451e+01,9.93333167e-01,1.38036966e+01,6.54267553e+00
7.52575258e-02,1.37723465e+01,9.93313646e-01,1.38442840e+01,6.56341563e+00
7.56075608e-02,1.38131478e+01,9.93294182e-01,1.38848726e+01,6.58415636e+00
