xi,E_mu_0.3,E_mu_0.7
1.53616955,0.68803847,1.53616955
1.54246533,0.68534028,1.54246533
1.54876111,0.68264209,1.54876111
1.55505688,0.67994390,1.55505688
1.56135266,0.67724571,1.56135266
1.56764844,0.67454752,1.56764844
1.57394422,0.67184933,1.57394422
1.58023999,0.66915114,1.58023999
1.58653577,0.66645295,1.58653577
1.59283155,0.66375476,1.59283155
1.59912732,0.66105657,1.59912732
1.60542310,0.65835838,1.60542310
1.61171888,0.65566019,1.61171888
1.61801465,0.65296200,1.61801465
1.62431043,0.65026381,1.62431043
1.63060621,0.64756562,1.63060621
1.63690198,0.64486743,1.63690198
1.64319776,0.64216924,1.64319776
1.64949354,0.63947105,1.64949354
1.65578931,0.63677286,1.65578931
1.66208509,0.63407467,1.66208509
1.66838087,0.63137648,1.66838087
1.67467664,0.62867829,1.67467664
1.68097242,0.62598010,1.68097242
1.68726820,0.62328191,1.68726820
1.69356398,0.62058372,1.69356398
1.69985975,0.61788553,1.69985975
1.70615553,0.61518734,1.70615553
1.71245131,0.61248915,1.71245131
1.71874708,0.60979096,1.71874708
1.72504286,0.60709277,1.72504286
1.73133864,0.60439458,1.73133864
1.73763441,0.60169639,1.73763441
1.74393019,0.59899820,1.74393019
1.75022597,0.59630001,1.75022597
1.75652174,0.59360182,1.75652174
1.76281752,0.59090363,1.76281752
1.76911330,0.58820544,1.76911330
1.77540907,0.58550725,1.77540907
1.78170485,0.58280906,1.78170485
1.78800063,0.58011087,1.78800063
1.79429641,0.57741268,1.79429641
1.80059218,0.57471449,1.80059218
1.80688796,0.57201630,1.80688796
1.81318374,0.56931811,1.81318374
1.81947951,0.56661992,1.81947951
1.82577529,0.56392173,1.82577529
1.83207107,0.56122354,1.83207107
1.83836684,0.55852535,1.83836684
1.84466262,0.55582716,1.84466262
1.85095840,0.55312897,1.85095840
1.85725417,0.55043078,1.85725417
1.86354995,0.54773259,1.86354995
1.86984573,0.54503440,1.86984573
1.87614150,0.54233621,1.87614150
1.88243728,0.53963802,1.88243728
1.88873306,0.53693983,1.88873306
1.89502884,0.53424164,1.89502884
1.90132461,0.53154345,1.90132461
1.90762039,0.52884526,1.90762039
1.91391617,0.52614707,1.91391617
1.92021194,0.52344888,1.92021194
1.92650772,0.52075069,1.92650772
1.93280350,0.51805250,1.93280350
1.93909927,0.51535431,1.93909927
1.94539505,0.51265612,1.94539505
1.95169083,0.50995793,1.95169083
1.95798660,0.50725974,1.95798660
1.96428238,0.50456155,1.96428238
1.97057816,0.50186336,1.97057816
1.97687393,0.49916517,1.97687393
1.98316971,0.49646698,1.98316971
1.98946549,0.49376879,1.98946549
1.99576126,0.49107060,1.99576126
2.00205704,0.48837241,2.00205704
2.00835282,0.48567421,2.00835282
2.01464860,0.48297602,2.01464860
2.02094437,0.48027783,2.02094437
2.02724015,0.47757964,2.02724015
2.03353593,0.47488145,2.03353593
2.03983170,0.47218326,2.03983170
2.04612748,0.46948507,2.04612748
2.05242326,0.46678688,2.05242326
2.05871903,0.46408869,2.05871903
2.06501481,0.46139050,2.06501481
2.07131059,0.45869231,2.07131059
2.07760636,0.45599412,2.07760636
2.08390214,0.45329593,2.08390214
2.09019792,0.45059774,2.09019792
2.09649369,0.44789955,2.09649369
2.10278947,0.44520136,2.10278947
2.10908525,0.44250317,2.10908525
2.11538103,0.43980498,2.11538103
2.12167680,0.43710679,2.12167680
2.12797258,0.43440860,2.12797258
2.13426836,0.43171041,2.13426836
2.14056413,0.42901222,2.14056413
2.14685991,0.42631403,2.14685991
2.15315569,0.42361584,2.15315569
2.15945146,0.42091765,2.15945146
2.16574724,0.41821946,2.16574724
2.17204302,0.41552127,2.17204302
2.17833879,0.41282308,2.17833879
2.18463457,0.41012489,2.18463457
2.19093035,0.40742670,2.19093035
2.19722612,0.40472851,2.19722612
2.20352190,0.40203032,2.18883176
2.20981768,0.39933213,2.17414161
2.21611346,0.39663394,2.15945146
2.22240923,0.39393575,2.14476132
2.22870501,0.39123756,2.13007117
2.23500079,0.38853937,2.11538103
2.24129656,0.38584118,2.10069088
2.24759234,0.38314299,2.08600073
2.25388812,0.38044480,2.07131059
2.26018389,0.37774661,2.05662044
2.26647967,0.37504842,2.04193030
2.27277545,0.37235023,2.02724015
2.27907122,0.36965204,2.01255000
2.28536700,0.36695385,1.99785986
2.29166278,0.36425566,1.98316971
2.29795855,0.36155747,1.96847957
2.30425433,0.35885928,1.95378942
2.31055011,0.35616109,1.93909927
2.31684588,0.35346290,1.92440913
2.32314166,0.35076471,1.90971898
2.32943744,0.34806652,1.89502884
2.33573322,0.34536833,1.88033869
2.34202899,0.34267014,1.86564854
2.34832477,0.33997195,1.85095840
2.35462055,0.33727376,1.83626825
2.36091632,0.33457557,1.82157811
2.36721210,0.33187738,1.80688796
2.37350788,0.32917919,1.79219781
2.37980365,0.32648100,1.77750767
2.38609943,0.32378281,1.76281752
2.39239521,0.32108462,1.74812738
2.39869098,0.31838643,1.73343723
2.40498676,0.31568824,1.71874708
2.41128254,0.31299005,1.70405694
2.41757831,0.31029186,1.68936679
2.42387409,0.30759367,1.67467664
2.43016987,0.30489548,1.65998650
2.43646565,0.30219729,1.64529635
2.44276142,0.29949910,1.63060621
2.44905720,0.29680091,1.61591606
2.45535298,0.29410272,1.60122591
2.46164875,0.29140453,1.58653577
2.46794453,0.28870634,1.57184562
2.47424031,0.28600815,1.55715548
2.48053608,0.28330996,1.54246533
2.48683186,0.28061177,1.52777518
2.49312764,0.27791358,1.51308504
2.49942341,0.27521539,1.49839489
2.50571919,0.27251720,1.48370475
2.51201497,0.26981901,1.46901460
2.51831074,0.26712082,1.45432445
2.52460652,0.26442263,1.43963431
2.53090230,0.26172444,1.42494416
2.53719807,0.25902625,1.41025402
2.54349385,0.25632806,1.39556387
2.54978963,0.25362987,1.38087372
2.55608541,0.25093168,1.36618358
2.56238118,0.24823349,1.35149343
2.56867696,0.24553530,1.33680329
2.57497274,0.24283711,1.32211314
2.58126851,0.24013892,1.30742299
2.58756429,0.23744073,1.29273285
2.59386007,0.23474254,1.27804270
2.60015584,0.23204435,1.26335256
2.60645162,0.22934616,1.24866241
2.61274740,0.22664797,1.23397226
2.61904317,0.22394978,1.21928212
2.62533895,0.22125159,1.20459197
2.63163473,0.21855340,1.18990183
2.63793050,0.21585521,1.17521168
2.64422628,0.21315702,1.16052153
2.65052206,0.21045883,1.14583139
2.65681784,0.20776064,1.13114124
2.66311361,0.20506245,1.11645110
2.66940939,0.20236426,1.10176095
2.67570517,0.19966607,1.08707080
2.68200094,0.19696788,1.07238066
2.68829672,0.19426969,1.05769051
2.69459250,0.19157150,1.04300037
2.70088827,0.18887331,1.02831022
2.70718405,0.18617512,1.01362007
2.71347983,0.18347693,0.99892993
2.71977560,0.18077874,0.98423978
2.72607138,0.17808055,0.96954964
2.73236716,0.17538236,0.95485949
2.73866293,0.17268417,0.94016934
2.74495871,0.16998598,0.92547920
2.75125449,0.16728779,0.91078905
2.75755027,0.16458960,0.89609891
2.76384604,0.16189140,0.88140876
2.77014182,0.15919321,0.86671861
2.77643760,0.15649502,0.85202847
2.78273337,0.15379683,0.83733832
2.78902915,0.15109864,0.82264818
2.79532493,0.14840045,0.80795803
2.80162070,0.14570226,0.79326788
2.80791648,0.14300407,0.77857774
2.81421226,0.14030588,0.76388759
2.82050803,0.13760769,0.74919745
2.82680381,0.13490950,0.73450730
2.83309959,0.13221131,0.71981715
2.83939536,0.12951312,0.70512701
2.84569114,0.12681493,0.69043686
2.85198692,0.12411674,0.67574672
2.85828269,0.12141855,0.66105657
2.86457847,0.11872036,0.64636642
2.87087425,0.11602217,0.63167628
2.87717003,0.11332398,0.61698613
2.88346580,0.11062579,0.60229599
2.88976158,0.10792760,0.58760584
2.89605736,0.10522941,0.57291569
2.90235313,0.10253122,0.55822555
2.90864891,0.09983303,0.54353540
2.91494469,0.09713484,0.52884526
2.92124046,0.09443665,0.51415511
2.92753624,0.09173846,0.49946496
2.93383202,0.08904027,0.48477482
2.94012779,0.08634208,0.47008467
2.94642357,0.08364389,0.45539453
2.95271935,0.08094570,0.44070438
2.95901512,0.07824751,0.42601423
2.96531090,0.07554932,0.41132409
2.97160668,0.07285113,0.39663394
2.97790246,0.07015294,0.38194380
2.98419823,0.06745475,0.36725365
2.99049401,0.06475656,0.35256350
2.99678979,0.06205837,0.33787336
3.00308556,0.05936018,0.32318321
3.00938134,0.05666199,0.30849307
3.01567712,0.05396380,0.29380292
3.02197289,0.05126561,0.27911277
3.02826867,0.04856742,0.26442263
3.03456445,0.04586923,0.24973248
3.04086022,0.04317104,0.23504234
3.04715600,0.04047285,0.22035219
3.05345178,0.03777466,0.20566204
3.05974755,0.03507647,0.19097190
3.06604333,0.03237828,0.17628175
3.07233911,0.02968009,0.16159161
3.07863488,0.02698190,0.14690146
3.08493066,0.02428371,0.13221131
3.09122644,0.02158552,0.11752117
3.09752222,0.01888733,0.10283102
3.10381799,0.01618914,0.08814088
3.11011377,0.01349095,0.07345073
3.11640955,0.01079276,0.05876058
3.12270532,0.00809457,0.04407044
3.12900110,0.00539638,0.02938029
3.13529688,0.00269819,0.01469015
3.14159265,0.00000000,0.00000000
