xi,Z,X,E
2.99678979,0.22666177,1.55435695,1.57079633
3.00308556,0.21687146,1.55575315,1.57079633
3.00938134,0.20707255,1.55708769,1.57079633
3.01567712,0.19726543,1.55836050,1.57079633
3.02197289,0.18745050,1.55957155,1.57079633
3.02826867,0.17762813,1.56072078,1.57079633
3.03456445,0.16779873,1.56180815,1.57079633
3.04086022,0.15796267,1.56283361,1.57079633
3.04715600,0.14812036,1.56379713,1.57079633
3.05345178,0.13827217,1.56469866,1.57079633
3.05974755,0.12841850,1.56553818,1.57079633
3.06604333,0.11855974,1.56631564,1.57079633
3.07233911,0.10869628,1.56703102,1.57079633
3.07863488,0.09882851,1.56768429,1.57079633
3.08493066,0.08895683,1.56827542,1.57079633
3.09122644,0.07908162,1.56880438,1.57079633
3.09752222,0.06920328,1.56927117,1.57079633
3.10381799,0.05932219,1.56967576,1.57079633
3.11011377,0.04943875,1.57001812,1.57079633
3.11640955,0.03955335,1.57029826,1.57079633
3.12270532,0.02966639,1.57051616,1.57079633
3.12900110,0.01977824,1.57067181,1.57079633
3.13529688,0.00988932,1.57076520,1.57079633
3.14159265,0.00000000,1.57079633,1.57079633
