xi,E_naive,E_wilson_r1,E_slac,E_mod_slac_0.5
1.57394422,0.99999505,1.41643770,1.57394422,1.56764844
1.58023999,0.99995541,1.42087545,1.58023999,1.56135266
1.58653577,0.99987614,1.42529912,1.58653577,1.55505688
1.59283155,0.99975723,1.42970867,1.59283155,1.54876111
1.59912732,0.99959870,1.43410405,1.59912732,1.54246533
1.60542310,0.99940055,1.43848521,1.60542310,1.53616955
1.61171888,0.99916279,1.44285213,1.61171888,1.52987378
1.61801465,0.99888542,1.44720474,1.61801465,1.52357800
1.62431043,0.99856846,1.45154302,1.62431043,1.51728222
1.63060621,0.99821192,1.45586691,1.63060621,1.51098645
1.63690198,0.99781582,1.46017637,1.63690198,1.50469067
1.64319776,0.99738016,1.46447137,1.64319776,1.49839489
1.64949354,0.99690497,1.46875185,1.64949354,1.49209912
1.65578931,0.99639027,1.47301778,1.65578931,1.48580334
1.66208509,0.99583607,1.47726912,1.66208509,1.47950756
1.66838087,0.99524241,1.48150581,1.66838087,1.47321179
1.67467664,0.99460929,1.48572783,1.67467664,1.46691601
1.68097242,0.99393675,1.48993512,1.68097242,1.46062023
1.68726820,0.99322482,1.49412765,1.68726820,1.45432445
1.69356398,0.99247351,1.49830537,1.69356398,1.44802868
1.69985975,0.99168287,1.50246825,1.69985975,1.44173290
1.70615553,0.99085292,1.50661623,1.70615553,1.43543712
1.71245131,0.98998370,1.51074929,1.71245131,1.42914135
1.71874708,0.98907524,1.51486738,1.71874708,1.42284557
1.72504286,0.98812757,1.51897045,1.72504286,1.41654979
1.73133864,0.98714074,1.52305848,1.73133864,1.41025402
1.73763441,0.98611478,1.52713141,1.73763441,1.40395824
1.74393019,0.98504973,1.53118921,1.74393019,1.39766246
1.75022597,0.98394564,1.53523184,1.75022597,1.39136669
1.75652174,0.98280255,1.53925925,1.75652174,1.38507091
1.76281752,0.98162051,1.54327141,1.76281752,1.37877513
1.76911330,0.98039956,1.54726828,1.76911330,1.37247936
1.77540907,0.97913974,1.55124982,1.77540907,1.36618358
1.78170485,0.97784112,1.55521598,1.78170485,1.35988780
1.78800063,0.97650374,1.55916674,1.78800063,1.35359203
1.79429641,0.97512765,1.56310204,1.79429641,1.34729625
1.80059218,0.97371292,1.56702186,1.80059218,1.34100047
1.80688796,0.97225958,1.57092614,1.80688796,1.33470469
1.81318374,0.97076771,1.57481486,1.81318374,1.32840892
1.81947951,0.96923737,1.57868798,1.81947951,1.32211314
1.82577529,0.96766860,1.58254545,1.82577529,1.31581736
1.83207107,0.96606148,1.58638724,1.83207107,1.30952159
1.83836684,0.96441607,1.59021331,1.83836684,1.30322581
1.84466262,0.96273243,1.59402362,1.84466262,1.29693003
1.85095840,0.96101064,1.59781814,1.85095840,1.29063426
1.85725417,0.95925075,1.60159682,1.85725417,1.28433848
1.86354995,0.95745284,1.60535964,1.86354995,1.27804270
1.86984573,0.95561698,1.60910654,1.86984573,1.27174693
1.87614150,0.95374324,1.61283750,1.87614150,1.26545115
1.88243728,0.95183170,1.61655248,1.88243728,1.25915537
1.88873306,0.94988243,1.62025144,1.88873306,1.25285960
1.89502884,0.94789551,1.62393434,1.89502884,1.24656382
1.90132461,0.94587102,1.62760116,1.90132461,1.24026804
1.90762039,0.94380904,1.63125184,1.90762039,1.23397226
1.91391617,0.94170965,1.63488636,1.91391617,1.22767649
1.92021194,0.93957294,1.63850468,1.92021194,1.22138071
1.92650772,0.93739898,1.64210676,1.92650772,1.21508493
1.93280350,0.93518786,1.64569258,1.93280350,1.20878916
1.93909927,0.93293968,1.64926208,1.93909927,1.20249338
1.94539505,0.93065452,1.65281524,1.94539505,1.19619760
1.95169083,0.92833248,1.65635202,1.95169083,1.18990183
1.95798660,0.92597363,1.65987239,1.95798660,1.18360605
1.96428238,0.92357809,1.66337631,1.96428238,1.17731027
1.97057816,0.92114593,1.66686375,1.97057816,1.17101450
1.97687393,0.91867727,1.67033467,1.97687393,1.16471872
1.98316971,0.91617219,1.67378904,1.98316971,1.15842294
1.98946549,0.91363079,1.67722683,1.98946549,1.15212717
1.99576126,0.91105319,1.68064799,1.99576126,1.14583139
2.00205704,0.90843947,1.68405250,2.00205704,1.13953561
2.00835282,0.90578975,1.68744033,2.00835282,1.13323983
2.01464860,0.90310412,1.69081143,2.01464860,1.12694406
2.02094437,0.90038270,1.69416577,2.02094437,1.12064828
2.02724015,0.89762559,1.69750333,2.02724015,1.11435250
2.03353593,0.89483290,1.70082407,2.03353593,1.10805673
2.03983170,0.89200474,1.70412796,2.03983170,1.10176095
2.04612748,0.88914122,1.70741495,2.04612748,1.09546517
2.05242326,0.88624247,1.71068503,2.05242326,1.08916940
2.05871903,0.88330858,1.71393816,2.05871903,1.08287362
2.06501481,0.88033969,1.71717430,2.06501481,1.07657784
2.07131059,0.87733590,1.72039343,2.07131059,1.07028207
2.07760636,0.87429733,1.72359551,2.07760636,1.06398629
2.08390214,0.87122411,1.72678051,2.08390214,1.05769051
2.09019792,0.86811636,1.72994840,2.09019792,1.05139474
