t_fs,Re_E,Im_E,intensity
-1040.0390625,-13.403060503901894,-7.275580530819145,232.57610293168943
-1039.0625,-13.372412705720158,-7.445930076739907,234.26329627980584
-1038.0859375,-13.340170102648049,-7.613986492786218,235.93292867991585
-1037.109375,-13.306472556355494,-7.779786647085524,237.58729216721213
-1036.1328125,-13.271456733034192,-7.943376513845197,239.2287942575061
-1035.15625,-13.235255257185182,-8.104811056811052,240.8599439894547
-1034.1796875,-13.197995858146875,-8.264154024108123,242.48333640584457
-1033.203125,-13.159800536213275,-8.421477656529316,244.1016360723417
-1032.2265625,-13.120784764259417,-8.576862294719984,245.7175596526114
-1031.25,-13.081056721590102,-8.730395876651691,247.33385711651442
-1030.2734375,-13.040716557281455,-8.882173337667627,248.9532915277283
-1029.296875,-12.999855700696326,-9.032295931983654,250.57861804185524
-1028.3203125,-12.95855624897397,-9.180870478137347,252.21256279415618
-1027.34375,-12.916890447779256,-9.328008516397174,253.85780172190917
-1026.3671875,-12.874920262052775,-9.473825377533311,255.51693903821132
-1025.390625,-12.832697036720564,-9.618439186921549,257.19248562876476
-1024.4140625,-12.790261268958258,-9.761969833636424,258.88683836104127
-1023.4375,-12.747642521206423,-9.904537916014865,260.6022611782462
-1022.4609375,-12.70485948383682,-10.046263662994441,262.34086809044095
-1021.484375,-12.661920173529705,-10.187265846103564,264.1046079000266
-1020.5078125,-12.618822256685819,-10.327660721743253,265.89525112926776
-1019.53125,-12.575553507385258,-10.467561043970651,267.7143802263616
-1018.5546875,-12.532092411280829,-10.607075163462689,269.5633837282296
-1017.578125,-12.488408899673615,-10.746306213474995,271.44345407921844
-1016.6015625,-12.444465173627972,-10.885351399349647,273.3555885449628
-1015.625,-12.400216586486557,-11.02430142880929,275.30059338502286
-1014.6484375,-12.355612577030614,-11.163240109526111,277.27909189660966
-1013.671875,-12.310597644373805,-11.302244106722817,279.2915362096125
-1012.6953125,-12.265112327510007,-11.44138283920522,281.33822167969765
-1011.71875,-12.219094137677853,-11.580718510126513,283.41930275622013
-1010.7421875,-12.172478412636181,-11.720306283844526,285.5348100932192
-1009.765625,-12.125199090384282,-11.86019460216827,287.68466898275716
-1008.7890625,-12.077189398785881,-12.00042560124716,289.8687183852143
-1007.8125,-12.028382434882477,-12.141035584784,292.0867290707807
