# Figure 4: ESM Fiber Dispersion Curves
# Melchert & Demircan, Computer Physics Communications 273 (2022) 108257
# Pade [8/8] approximant for refractive index of ESM PCF
# Columns: w (angular frequency, rad/fs), beta1 (group delay, fs/um), beta2 (GVD, fs^2/um)
w_rad_fs,beta1_fs_um,beta2_fs2_um
2.56212425e+00,3.27978533e+00,-1.23789644e+00
2.56913828e+00,3.27109004e+00,-1.24150264e+00
2.57615230e+00,3.26236946e+00,-1.24511061e+00
2.58316633e+00,3.25362356e+00,-1.24872036e+00
2.59018036e+00,3.24485233e+00,-1.25233189e+00
2.59719439e+00,3.23605577e+00,-1.25594521e+00
2.60420842e+00,3.22723386e+00,-1.25956032e+00
2.61122244e+00,3.21838658e+00,-1.26317723e+00
2.61823647e+00,3.20951393e+00,-1.26679595e+00
2.62525050e+00,3.20061590e+00,-1.27041648e+00
2.63226453e+00,3.19169246e+00,-1.27403884e+00
2.63927856e+00,3.18274360e+00,-1.27766301e+00
2.64629259e+00,3.17376932e+00,-1.28128902e+00
2.65330661e+00,3.16476960e+00,-1.28491686e+00
2.66032064e+00,3.15574443e+00,-1.28854654e+00
2.66733467e+00,3.14669380e+00,-1.29217807e+00
2.67434870e+00,3.13761768e+00,-1.29581146e+00
2.68136273e+00,3.12851608e+00,-1.29944670e+00
2.68837675e+00,3.11938897e+00,-1.30308381e+00
2.69539078e+00,3.11023634e+00,-1.30672280e+00
2.70240481e+00,3.10105818e+00,-1.31036366e+00
2.70941884e+00,3.09185448e+00,-1.31400640e+00
2.71643287e+00,3.08262522e+00,-1.31765104e+00
2.72344689e+00,3.07337039e+00,-1.32129757e+00
2.73046092e+00,3.06408998e+00,-1.32494600e+00
2.73747495e+00,3.05478397e+00,-1.32859634e+00
2.74448898e+00,3.04545235e+00,-1.33224859e+00
2.75150301e+00,3.03609511e+00,-1.33590277e+00
2.75851703e+00,3.02671223e+00,-1.33955887e+00
2.76553106e+00,3.01730370e+00,-1.34321690e+00
2.77254509e+00,3.00786950e+00,-1.34687687e+00
2.77955912e+00,2.99840963e+00,-1.35053878e+00
2.78657315e+00,2.98892406e+00,-1.35420265e+00
2.79358717e+00,2.97941279e+00,-1.35786846e+00
2.80060120e+00,2.96987580e+00,-1.36153624e+00
2.80761523e+00,2.96031308e+00,-1.36520599e+00
2.81462926e+00,2.95072461e+00,-1.36887771e+00
2.82164329e+00,2.94111038e+00,-1.37255141e+00
2.82865731e+00,2.93147038e+00,-1.37622710e+00
2.83567134e+00,2.92180459e+00,-1.37990477e+00
2.84268537e+00,2.91211299e+00,-1.38358445e+00
2.84969940e+00,2.90239558e+00,-1.38726613e+00
2.85671343e+00,2.89265234e+00,-1.39094982e+00
2.86372745e+00,2.88288326e+00,-1.39463552e+00
