w_rad_fs,spectrum_dB
1.534668011278614,-299.9986048753961
1.5409511965857936,-299.99954088676014
1.547234381892973,-299.99978601959367
1.5535175672001527,-299.9996343710956
1.5598007525073323,-299.99815313873904
1.566083937814512,-299.99953151114033
1.5723671231216916,-299.9991737776428
1.5786503084288712,-299.99778166984095
1.5849334937360509,-299.99776540254754
1.5912166790432305,-299.9966718649084
1.59749986435041,-299.99981571245536
1.6037830496575896,-299.99613466496453
1.6100662349647687,-299.99962588646383
1.6163494202719484,-299.98423634476137
1.622632605579128,-299.99192763397
1.6289157908863077,-299.9939745351396
1.6351989761934873,-299.99858389234646
1.6414821615006667,-299.9974570732966
1.6477653468078464,-299.99706054438053
1.654048532115026,-299.99600085165366
1.6603317174222056,-299.99751946882145
1.666614902729385,-299.9998201133827
1.6728980880365647,-299.99971743047024
1.6791812733437443,-299.9987995864279
1.685464458650924,-299.99932042904896
1.6917476439581036,-299.99853376198877
1.698030829265283,-299.9991956633351
1.7043140145724627,-299.99919936082284
1.7105971998796423,-299.99922557478453
1.716880385186822,-299.9982631052894
1.7231635704940016,-299.99990998497714
1.729446755801181,-299.9985333942509
1.7357299411083607,-299.99953740665296
1.7420131264155403,-299.9950537585297
1.74829631172272,-299.99900247034094
1.7545794970298993,-299.99909001768896
1.760862682337079,-299.9993164549906
1.7671458676442586,-299.9992733666676
1.7734290529514383,-299.9999765789398
1.779712238258618,-299.9998621277404
1.7859954235657973,-299.999782110293
1.792278608872977,-299.9996748141834
1.7985617941801566,-299.99818523483293
1.8048449794873362,-299.9989896935686
1.8111281647945157,-299.9990005362328
1.8174113501016953,-299.99983178616037
1.823694535408875,-299.99890401558196
1.8299777207160546,-299.9993235342647
1.8362609060232342,-299.99933076090986
1.8425440913304136,-299.99978703621775
1.8488272766375933,-299.9988780759119
1.855110461944773,-299.9999316531498
1.8613936472519526,-299.9995088007858
1.8676768325591322,-299.99859588593466
1.8739600178663116,-299.99971088281046
1.8802432031734913,-299.99992038983413
1.886526388480671,-299.99820529628397
1.8928095737878505,-299.99724721490105
1.89909275909503,-299.9999713019563
1.9053759444022096,-299.9998192694622
1.9116591297093892,-299.9994205510125
1.9179423150165689,-299.9999766541816
1.9242255003237485,-299.99917827701915
1.930508685630928,-299.99997753389425
1.9367918709381076,-299.9999111917408
1.9430750562452872,-299.99500205028005
1.9493582415524668,-299.9996066256106
1.9556414268596465,-299.99986054311324
1.961924612166826,-299.9998493076651
1.9682077974740055,-299.99905072177734
1.9744909827811852,-299.9995214797226
1.9807741680883648,-299.99643634456197
1.9870573533955442,-299.9984803895813
1.9933405387027239,-299.9986544463503
1.9996237240099035,-299.9995786678627
2.005906909317083,-299.99780021938807
2.0121900946242626,-299.99949322417604
2.0184732799314418,-299.99076890949544
2.0247564652386214,-299.99772643039046
2.031039650545801,-299.9910713346169
2.0373228358529807,-299.99790461071524
2.0436060211601603,-299.9993777063419
2.04988920646734,-299.99978594517546
2.0561723917745196,-299.99954145081693
2.0624555770816992,-299.9943883003527
2.068738762388879,-299.99890848882325
2.075021947696058,-299.9993681974049
2.0813051330032377,-299.9998546013114
2.0875883183104174,-299.9990521877888
2.093871503617597,-299.99884501223795
2.1001546889247766,-299.9996884859292
