# Figure 4c: 201x201 array |b_0l| vs nqR
# Parameters: R/a=0.35, n=4, k~q
nqR,abs_b0_l0,abs_b0_l1,abs_b0_l2
4.96120401,0.00332910,0.00360558,0.01632338
4.98695652,0.00326496,0.00565793,0.01172513
5.01270903,0.00543004,0.00579520,0.01674195
5.03846154,0.00508603,0.00470255,0.01214347
5.06421405,0.00600880,0.00497924,0.01259435
5.08996656,0.00910870,0.01393423,0.01919050
5.11571906,0.00737487,0.00097092,0.01353277
5.14147157,0.02350669,0.05629809,0.04080478
5.16722408,0.01152482,0.01862892,0.02506873
5.19297659,0.01035618,0.04874918,0.02895107
5.21872910,0.00177783,0.03812519,0.01514102
5.24448161,0.00363459,0.02696450,0.00896473
5.27023411,0.00425064,0.02037822,0.00255147
5.29598662,0.00757533,0.01588207,0.00138906
5.32173913,0.00744212,0.01491985,0.00015426
5.34749164,0.00883201,0.01288674,0.00053187
5.37324415,0.00940477,0.01194606,0.00098802
5.39899666,0.01146590,0.00981917,0.00116783
5.42474916,0.01035629,0.01076494,0.00144142
5.45050167,0.01163228,0.00974150,0.00148806
5.47625418,0.01207660,0.00954072,0.00138727
5.50200669,0.01171241,0.00958909,0.00162329
5.52775920,0.01776490,0.00675928,0.00070008
5.55351171,0.01206270,0.00930528,0.00169416
5.57926421,0.01819133,0.00922067,0.00207381
5.60501672,0.01304071,0.00906773,0.00169995
5.63076923,0.01404296,0.00895802,0.00167982
5.65652174,0.01590855,0.00927899,0.00206543
5.68227425,0.01423607,0.00844393,0.00147568
5.70802676,0.02604933,0.01412871,0.00546806
5.73377926,0.01441486,0.00808823,0.00152198
5.75953177,0.09781501,0.04859722,0.03048558
5.78528428,0.01552772,0.00723313,0.00148440
5.81103679,0.04539698,0.01276271,0.01459898
5.83678930,0.01823924,0.00464564,0.00161592
5.86254181,0.08929477,0.03012132,0.03911000
5.88829431,0.01844755,0.00483394,0.00154866
5.91404682,0.16990305,0.09187960,0.09221601
5.93979933,0.01763934,0.00652005,0.00089944
5.96555184,0.02863762,0.03269762,0.02115543
5.99130435,0.01680248,0.00736960,0.00075304
6.01705686,0.01531099,0.02479393,0.01484753
6.04280936,0.01806578,0.00682002,0.00043515
6.06856187,0.02373788,0.02647239,0.02279749
6.09431438,0.02129592,0.00392333,0.00205955
6.12006689,0.01972002,0.01945699,0.01928600
6.14581940,0.02379982,0.00674953,0.00462416
6.17157191,0.01676410,0.01488590,0.01230172
6.19732441,0.01684275,0.01204068,0.00585825
6.22307692,0.01468859,0.01394710,0.00815263
6.24882943,0.01546731,0.01295712,0.00905158
6.27458194,0.02025656,0.01306807,0.00753960
6.30033445,0.01071397,0.01543527,0.01392378
6.32608696,0.02752134,0.00054598,0.00482773
6.35183946,0.00420063,0.01663007,0.01404198
6.37759197,0.02119518,0.00840469,0.00260074
6.40334448,0.00585923,0.01641440,0.01051801
6.42909699,0.01723672,0.01069986,0.00775828
6.45484950,0.01383038,0.01533790,0.01237582
6.48060201,0.00961055,0.01389252,0.01230896
6.50635452,0.02483807,0.00435014,0.00851693
6.53210702,0.00097588,0.01580113,0.01117377
6.55785953,0.02304067,0.00829427,0.00432916
6.58361204,0.00441880,0.01656966,0.00934309
6.60936455,0.01318487,0.01259908,0.01019374
6.63511706,0.01643811,0.01207540,0.01305215
6.66086957,0.00379520,0.01528882,0.01032488
6.68662207,0.02668432,0.00532511,0.00462498
6.71237458,0.00355744,0.01811562,0.00661954
6.73812709,0.01310891,0.01424797,0.00873354
6.76387960,0.00880942,0.01780580,0.01087011
6.78963211,0.00423123,0.01653498,0.00863776
6.81538462,0.03180376,0.00794562,0.00787559
6.84113712,0.00498631,0.02101314,0.00529556
6.86688963,0.00940290,0.01704995,0.00668996
6.89264214,0.02891234,0.08613421,0.05583557
6.91839465,0.00424434,0.01933699,0.00616427
6.94414716,0.01876923,0.01933476,0.00645042
6.96989967,0.00609310,0.02210721,0.01185632
6.99565217,0.00559264,0.02195941,0.00357060
7.02140468,0.01854564,0.01676647,0.01774483
7.04715719,0.00411806,0.02472333,0.00495441
7.07290970,0.01370737,0.01927564,0.01068338
7.09866221,0.00899805,0.01952107,0.01526312
7.12441472,0.00546591,0.02901691,0.01139716
7.15016722,0.02635422,0.01601590,0.01344123
7.17591973,0.00441955,0.04336259,0.01815811
7.20167224,0.01037143,0.01089812,0.01835826
7.22742475,0.01498398,0.01879143,0.01741355
7.25317726,0.00880899,0.01983278,0.02180187
7.27892977,0.01398475,0.00365824,0.01870717
7.30468227,0.04971969,0.13373356,0.11624861
7.33043478,0.00910634,0.00543858,0.01724228
7.35618729,0.03169673,0.00767576,0.03270633
7.38193980,0.01066214,0.00808031,0.01958492
7.40769231,0.00984670,0.00563255,0.01711488
7.43344482,0.05851774,0.02639829,0.05401640
7.45919732,0.00985815,0.00548618,0.01593154
7.48494983,0.01341338,0.01054496,0.02354242
7.51070234,0.01979036,0.00307175,0.02478889
7.53645485,0.01058095,0.00664604,0.01649746
7.56220736,0.01313510,0.00900502,0.02150388
7.58795987,0.01203487,0.00642030,0.01796519
7.61371237,0.01434643,0.00736988,0.02294520
7.63946488,0.01080243,0.00682115,0.01571872
7.66521739,0.01191018,0.00751517,0.01801896
7.69096990,0.01228255,0.00621461,0.01735193
7.71672241,0.01096596,0.00682931,0.01497756
7.74247492,0.01469024,0.00394494,0.02253023
7.76822742,0.01104466,0.00719813,0.01426085
7.79397993,0.01247995,0.00564692,0.01714622
7.81973244,0.01185086,0.00626815,0.01634769
7.84548495,0.01138084,0.00757307,0.01412857
7.87123746,0.01406680,0.00314876,0.01923289
7.89698997,0.01101881,0.00803483,0.01428398
7.92274247,0.01344194,0.00542160,0.01654493
7.94849498,0.01167441,0.00791292,0.01440100
7.97424749,0.01124899,0.00819670,0.01485121
8.00000000,0.01361259,0.00507892,0.01626681
