# Figure 4a: Single cylinder |b_0l| vs nqR
# Parameters: R/a=0.35, n=4
nqR,abs_b0_l0,abs_b0_l1,abs_b0_l2
7.09866221,0.91746329,1.58226881,0.91135156
7.12441472,0.91744300,1.50179384,0.92688793
7.15016722,0.91741030,1.42401800,0.94275075
7.17591973,0.91736214,1.35004482,0.95896203
7.20167224,0.91729539,1.28049357,0.97554549
7.22742475,0.91720678,1.21563145,0.99252669
7.25317726,0.91709295,1.15548438,1.00993317
7.27892977,0.91695039,1.09992237,1.02779466
7.30468227,0.91677540,1.04872173,1.04614322
7.33043478,0.91656409,1.00160835,1.06501346
7.35618729,0.91631234,0.95828671,1.08444268
7.38193980,0.91601574,0.91845856,1.10447115
7.40769231,0.91566961,0.88183447,1.12514221
7.43344482,0.91526888,0.84814043,1.14650256
7.45919732,0.91480809,0.81712124,1.16860239
7.48494983,0.91428132,0.78854188,1.19149552
7.51070234,0.91368212,0.76218752,1.21523951
7.53645485,0.91300344,0.73786273,1.23989568
7.56220736,0.91223753,0.71539033,1.26552901
7.58795987,0.91137585,0.69461000,1.29220784
7.61371237,0.91040894,0.67537679,1.32000336
7.63946488,0.90932630,0.65755970,1.34898872
7.66521739,0.90811623,0.64104028,1.37923759
7.69096990,0.90676561,0.62571137,1.41082213
7.71672241,0.90525974,0.61147591,1.44380985
7.74247492,0.90358201,0.59824588,1.47825923
7.76822742,0.90171364,0.58594132,1.51421340
7.79397993,0.89963332,0.57448951,1.55169149
7.81973244,0.89731673,0.56382413,1.59067654
7.84548495,0.89473607,0.55388465,1.63109916
7.87123746,0.89185939,0.54461568,1.67281558
7.89698997,0.88864988,0.53596642,1.71557884
7.92274247,0.88506492,0.52789020,1.75900180
7.94849498,0.88105499,0.52034403,1.80251140
7.97424749,0.87656233,0.51328823,1.84529484
8.00000000,0.87151927,0.50668610,1.88624125
