time_ms,I_total_with_RE_MA,I_r_MA,I_th_with_RE_MA,I_total_baseline_MA
2.69338677e+00,1.36100630e+01,5.57480296e-02,1.35543150e+01,1.35678829e+01
2.71743487e+00,1.36026988e+01,5.64223928e-02,1.35462764e+01,1.35598362e+01
2.74148297e+00,1.35953475e+01,5.71049135e-02,1.35382425e+01,1.35517943e+01
2.76553106e+00,1.35880091e+01,5.77956904e-02,1.35302135e+01,1.35437572e+01
2.78957916e+00,1.35806840e+01,5.84948233e-02,1.35221891e+01,1.35357249e+01
2.81362725e+00,1.35733720e+01,5.92024133e-02,1.35141696e+01,1.35276973e+01
2.83767535e+00,1.35660733e+01,5.99185627e-02,1.35061548e+01,1.35196744e+01
2.86172345e+00,1.35587881e+01,6.06433751e-02,1.34981447e+01,1.35116564e+01
2.88577154e+00,1.35515164e+01,6.13769552e-02,1.34901394e+01,1.35036430e+01
2.90981964e+00,1.35442583e+01,6.21194092e-02,1.34821389e+01,1.34956345e+01
2.93386774e+00,1.35370139e+01,6.28708443e-02,1.34741430e+01,1.34876307e+01
2.95791583e+00,1.35297833e+01,6.36313692e-02,1.34661520e+01,1.34796316e+01
2.98196393e+00,1.35225667e+01,6.44010938e-02,1.34581656e+01,1.34716373e+01
3.00601202e+00,1.35153642e+01,6.51801297e-02,1.34501840e+01,1.34636477e+01
3.03006012e+00,1.35081758e+01,6.59685898e-02,1.34422072e+01,1.34556629e+01
3.05410822e+00,1.35010016e+01,6.67665876e-02,1.34342351e+01,1.34476827e+01
3.07815631e+00,1.34938419e+01,6.75742384e-02,1.34262677e+01,1.34397074e+01
3.10220441e+00,1.34866966e+01,6.83916591e-02,1.34183050e+01,1.34317367e+01
3.12625251e+00,1.34795660e+01,6.92189678e-02,1.34103470e+01,1.34237708e+01
3.15030060e+00,1.34724501e+01,7.00562840e-02,1.34023938e+01,1.34158096e+01
3.17434870e+00,1.34653490e+01,7.09037289e-02,1.33944453e+01,1.34078531e+01
3.19839679e+00,1.34582629e+01,7.17614251e-02,1.33865015e+01,1.33999014e+01
3.22244489e+00,1.34511919e+01,7.26294964e-02,1.33785624e+01,1.33919543e+01
3.24649299e+00,1.34441361e+01,7.35080683e-02,1.33706280e+01,1.33840120e+01
3.27054108e+00,1.34370956e+01,7.43972681e-02,1.33626983e+01,1.33760744e+01
3.29458918e+00,1.34300706e+01,7.52972240e-02,1.33547734e+01,1.33681415e+01
3.31863727e+00,1.34230611e+01,7.62080664e-02,1.33468531e+01,1.33602133e+01
3.34268537e+00,1.34160674e+01,7.71299269e-02,1.33389375e+01,1.33522898e+01
3.36673347e+00,1.34090896e+01,7.80629387e-02,1.33310266e+01,1.33443710e+01
3.39078156e+00,1.34021277e+01,7.90072367e-02,1.33231204e+01,1.33364569e+01
3.41482966e+00,1.33951819e+01,7.99629575e-02,1.33152189e+01,1.33285475e+01
