psi_N,eta_over_eta_axis
3.40681363e-01,1.00000000e+00
3.44689379e-01,1.00000000e+00
3.48697395e-01,1.00000000e+00
3.52705411e-01,1.00000000e+00
3.56713427e-01,1.00000000e+00
3.60721443e-01,1.00000000e+00
3.64729459e-01,1.00000000e+00
3.68737475e-01,1.00000000e+00
3.72745491e-01,1.00000000e+00
3.76753507e-01,1.00000000e+00
3.80761523e-01,1.00000000e+00
3.84769539e-01,1.00000000e+00
3.88777555e-01,1.00000000e+00
3.92785571e-01,1.00000000e+00
3.96793587e-01,1.00000000e+00
4.00801603e-01,1.00000000e+00
4.04809619e-01,1.00000000e+00
4.08817635e-01,1.00000000e+00
4.12825651e-01,1.00000000e+00
4.16833667e-01,1.00000000e+00
4.20841683e-01,1.00000000e+00
4.24849699e-01,1.00000000e+00
4.28857715e-01,1.00000000e+00
4.32865731e-01,1.00000000e+00
4.36873747e-01,1.00000000e+00
4.40881764e-01,1.00000000e+00
4.44889780e-01,1.00000000e+00
4.48897796e-01,1.00000000e+00
4.52905812e-01,1.00000000e+00
4.56913828e-01,1.00000000e+00
4.60921844e-01,1.00000000e+00
4.64929860e-01,1.00000000e+00
4.68937876e-01,1.00000000e+00
4.72945892e-01,1.00000000e+00
4.76953908e-01,1.00000000e+00
4.80961924e-01,1.00000000e+00
4.84969940e-01,1.00000000e+00
4.88977956e-01,1.00000000e+00
4.92985972e-01,1.00000000e+00
4.96993988e-01,1.00000000e+00
5.01002004e-01,1.00000000e+00
5.05010020e-01,1.00000000e+00
5.09018036e-01,1.00000000e+00
5.13026052e-01,1.00000000e+00
5.17034068e-01,1.00000000e+00
5.21042084e-01,1.00000000e+00
5.25050100e-01,1.00000000e+00
5.29058116e-01,1.00000000e+00
5.33066132e-01,1.00000000e+00
5.37074148e-01,1.00000000e+00
5.41082164e-01,1.00000000e+00
5.45090180e-01,1.00000000e+00
5.49098196e-01,1.00000000e+00
5.53106212e-01,1.00000000e+00
5.57114228e-01,1.00000000e+00
5.61122244e-01,1.00000000e+00
5.65130261e-01,1.00000000e+00
5.69138277e-01,1.00000000e+00
5.73146293e-01,1.00000000e+00
5.77154309e-01,1.00000000e+00
5.81162325e-01,1.00000000e+00
5.85170341e-01,1.00000000e+00
5.89178357e-01,1.00000000e+00
5.93186373e-01,1.00000000e+00
5.97194389e-01,1.00000000e+00
6.01202405e-01,1.00000000e+00
6.05210421e-01,1.00000000e+00
6.09218437e-01,1.00000000e+00
6.13226453e-01,1.00000000e+00
6.17234469e-01,1.00000000e+00
6.21242485e-01,1.00000000e+00
6.25250501e-01,1.00000000e+00
6.29258517e-01,1.00000000e+00
6.33266533e-01,1.00000000e+00
6.37274549e-01,1.00000000e+00
6.41282565e-01,1.00000000e+00
6.45290581e-01,1.00000000e+00
6.49298597e-01,1.00000000e+00
6.53306613e-01,1.00000000e+00
6.57314629e-01,1.00000000e+00
6.61322645e-01,1.00000000e+00
6.65330661e-01,1.00000000e+00
6.69338677e-01,1.00000000e+00
6.73346693e-01,1.00000000e+00
6.77354709e-01,1.00000000e+00
6.81362725e-01,1.00000000e+00
6.85370741e-01,1.00000000e+00
6.89378758e-01,1.00000000e+00
6.93386774e-01,1.00000000e+00
6.97394790e-01,1.00000000e+00
7.01402806e-01,1.00000000e+00
7.05410822e-01,1.00000000e+00
7.09418838e-01,1.00000000e+00
7.13426854e-01,1.00000000e+00
7.17434870e-01,1.00000000e+00
7.21442886e-01,1.00000000e+00
7.25450902e-01,1.00000000e+00
7.29458918e-01,1.00000000e+00
7.33466934e-01,1.00000000e+00
7.37474950e-01,1.00000000e+00
7.41482966e-01,1.00000000e+00
7.45490982e-01,1.00000000e+00
7.49498998e-01,1.00000000e+00
7.53507014e-01,1.00000000e+00
7.57515030e-01,1.00000000e+00
7.61523046e-01,1.00000000e+00
7.65531062e-01,1.00000000e+00
7.69539078e-01,1.00000000e+00
7.73547094e-01,1.00000000e+00
7.77555110e-01,1.00000000e+00
7.81563126e-01,1.00000000e+00
7.85571142e-01,1.00000000e+00
7.89579158e-01,1.00000000e+00
7.93587174e-01,1.00000000e+00
7.97595190e-01,1.00000000e+00
8.01603206e-01,1.00012851e+00
8.05611222e-01,1.00157429e+00
8.09619238e-01,1.00462649e+00
8.13627255e-01,1.00928510e+00
8.17635271e-01,1.01555014e+00
8.21643287e-01,1.02342159e+00
8.25651303e-01,1.03289947e+00
8.29659319e-01,1.04398376e+00
8.33667335e-01,1.05667447e+00
8.37675351e-01,1.07097160e+00
8.41683367e-01,1.08687515e+00
8.45691383e-01,1.10438512e+00
8.49699399e-01,1.12350151e+00
8.53707415e-01,1.14422432e+00
8.57715431e-01,1.16655355e+00
8.61723447e-01,1.19048919e+00
8.65731463e-01,1.21603126e+00
8.69739479e-01,1.24317975e+00
8.73747495e-01,1.27193465e+00
8.77755511e-01,1.30229597e+00
8.81763527e-01,1.33426372e+00
8.85771543e-01,1.36783788e+00
8.89779559e-01,1.40301846e+00
8.93787575e-01,1.43980546e+00
8.97795591e-01,1.47819888e+00
9.01803607e-01,1.51819872e+00
9.05811623e-01,1.55980498e+00
9.09819639e-01,1.60301766e+00
9.13827655e-01,1.64783676e+00
9.17835671e-01,1.69426227e+00
9.21843687e-01,1.74229421e+00
9.25851703e-01,1.79193256e+00
9.29859719e-01,1.84317734e+00
9.33867735e-01,1.89602853e+00
9.37875752e-01,1.95048614e+00
