time_ms,I_total_MA,I_re_MA,I_thermal_MA
3.28256513e+01,2.46244252e-01,6.45006665e-02,1.81743586e-01
3.29659319e+01,2.44217220e-01,6.78357603e-02,1.76381460e-01
3.31062124e+01,2.42391970e-01,7.12832862e-02,1.71108684e-01
3.32464930e+01,2.40768832e-01,7.48416650e-02,1.65927167e-01
3.33867735e+01,2.39347523e-01,7.85088838e-02,1.60838639e-01
3.35270541e+01,2.38127148e-01,8.22824942e-02,1.55844654e-01
3.36673347e+01,2.37106200e-01,8.61596144e-02,1.50946585e-01
3.38076152e+01,2.36282571e-01,9.01369360e-02,1.46145635e-01
3.39478958e+01,2.35653562e-01,9.42107321e-02,1.41442830e-01
3.40881764e+01,2.35215897e-01,9.83768725e-02,1.36839025e-01
3.42284569e+01,2.34965746e-01,1.02630838e-01,1.32334908e-01
3.43687375e+01,2.34898744e-01,1.06967742e-01,1.27931001e-01
3.45090180e+01,2.35010023e-01,1.11382354e-01,1.23627669e-01
3.46492986e+01,2.35294238e-01,1.15869122e-01,1.19425116e-01
3.47895792e+01,2.35745604e-01,1.20422206e-01,1.15323398e-01
3.49298597e+01,2.36357929e-01,1.25035506e-01,1.11322423e-01
3.50701403e+01,2.37124652e-01,1.29702693e-01,1.07421958e-01
3.52104208e+01,2.38038885e-01,1.34417249e-01,1.03621636e-01
3.53507014e+01,2.39093454e-01,1.39172495e-01,9.99209581e-02
3.54909820e+01,2.40280938e-01,1.43961635e-01,9.63193034e-02
3.56312625e+01,2.41593719e-01,1.48777786e-01,9.28159327e-02
3.57715431e+01,2.43024017e-01,1.53614020e-01,8.94099979e-02
3.59118236e+01,2.44563938e-01,1.58463395e-01,8.61005429e-02
3.60521042e+01,2.46205515e-01,1.63319000e-01,8.28865152e-02
3.61923848e+01,2.47940747e-01,1.68173977e-01,7.97667704e-02
3.63326653e+01,2.49761643e-01,1.73021564e-01,7.67400794e-02
3.64729459e+01,2.51660258e-01,1.77855125e-01,7.38051326e-02
3.66132265e+01,2.53628726e-01,1.82668178e-01,7.09605485e-02
3.67535070e+01,2.55659302e-01,1.87454422e-01,6.82048795e-02
3.68937876e+01,2.57744385e-01,1.92207767e-01,6.55366177e-02
