S_inv,gamma_fRE_0.0,gamma_fRE_0.5,gamma_fRE_1.0
1.30490198e-04,2.53607816e-02,2.01288657e-02,1.07721735e-07
1.38262217e-04,2.58546012e-02,2.05208106e-02,1.07721735e-07
1.46497140e-04,2.63580364e-02,2.09203873e-02,1.07721735e-07
1.55222536e-04,2.68712743e-02,2.13277446e-02,1.07721735e-07
1.64467618e-04,2.73945059e-02,2.17430337e-02,1.07721735e-07
1.74263339e-04,2.79279257e-02,2.21664094e-02,1.07721735e-07
1.84642494e-04,2.84717322e-02,2.25980288e-02,1.07721735e-07
1.95639834e-04,2.90261276e-02,2.30380527e-02,1.07721735e-07
2.07292178e-04,2.95913180e-02,2.34866447e-02,1.07721735e-07
2.19638537e-04,3.01675137e-02,2.39439715e-02,1.07721735e-07
2.32720248e-04,3.07549289e-02,2.44102033e-02,1.07721735e-07
2.46581108e-04,3.13537822e-02,2.48855134e-02,1.07721735e-07
2.61267523e-04,3.19642962e-02,2.53700787e-02,1.07721735e-07
2.76828663e-04,3.25866980e-02,2.58640794e-02,1.07721735e-07
2.93316628e-04,3.32212191e-02,2.63676991e-02,1.07721735e-07
3.10786619e-04,3.38680954e-02,2.68811252e-02,1.07721735e-07
3.29297126e-04,3.45275676e-02,2.74045486e-02,1.07721735e-07
3.48910121e-04,3.51998809e-02,2.79381640e-02,1.07721735e-07
3.69691271e-04,3.58852853e-02,2.84821698e-02,1.07721735e-07
3.91710149e-04,3.65840357e-02,2.90367684e-02,1.07721735e-07
4.15040476e-04,3.72963921e-02,2.96021660e-02,1.07721735e-07
4.39760361e-04,3.80226193e-02,3.01785729e-02,1.07721735e-07
4.65952567e-04,3.87629874e-02,3.07662035e-02,1.07721735e-07
4.93704785e-04,3.95177719e-02,3.13652763e-02,1.07721735e-07
5.23109931e-04,4.02872533e-02,3.19760141e-02,1.07721735e-07
5.54266452e-04,4.10717179e-02,3.25986441e-02,1.07721735e-07
5.87278661e-04,4.18714575e-02,3.32333978e-02,1.07721735e-07
6.22257084e-04,4.26867693e-02,3.38805113e-02,1.07721735e-07
6.59318827e-04,4.35179568e-02,3.45402252e-02,1.07721735e-07
6.98587975e-04,4.43653290e-02,3.52127849e-02,1.07721735e-07
7.40196000e-04,4.52292010e-02,3.58984406e-02,1.07721735e-07
7.84282206e-04,4.61098941e-02,3.65974472e-02,1.07721735e-07
8.30994195e-04,4.70077359e-02,3.73100647e-02,1.07721735e-07
8.80488358e-04,4.79230603e-02,3.80365582e-02,1.07721735e-07
9.32930403e-04,4.88562077e-02,3.87771977e-02,1.07721735e-07
9.88495905e-04,4.98075251e-02,3.95322589e-02,1.07721735e-07
1.04737090e-03,3.14977562e-02,4.03020224e-02,1.07721735e-07
1.10975250e-03,3.21315466e-02,4.10867746e-02,1.07721735e-07
1.17584955e-03,3.27784831e-02,4.18868073e-02,1.07721735e-07
1.24588336e-03,3.34388534e-02,4.27024181e-02,1.07721735e-07
1.32008840e-03,3.41129518e-02,4.35339102e-02,1.07721735e-07
1.39871310e-03,3.48010799e-02,4.43815930e-02,1.07721735e-07
1.48202071e-03,3.55035465e-02,4.52457817e-02,1.07721735e-07
1.57029012e-03,3.62206676e-02,4.61267977e-02,1.07721735e-07
1.66381689e-03,3.69527670e-02,4.70249687e-02,1.07721735e-07
1.76291412e-03,3.77001763e-02,4.79406286e-02,1.07721735e-07
1.86791360e-03,3.84632350e-02,4.88741181e-02,1.07721735e-07
1.97916687e-03,3.92422910e-02,4.98257842e-02,1.07721735e-07
2.09704640e-03,4.00377005e-02,3.15096813e-02,1.07721735e-07
2.22194686e-03,4.08498285e-02,3.21437190e-02,1.07721735e-07
2.35428641e-03,4.16790490e-02,3.27909081e-02,1.07721735e-07
2.49450814e-03,4.25257451e-02,3.34515365e-02,1.07721735e-07
2.64308149e-03,4.33903093e-02,3.41258987e-02,1.07721735e-07
2.80050389e-03,4.42731438e-02,3.48142964e-02,1.07721735e-07
2.96730241e-03,4.51746610e-02,3.55170386e-02,1.07721735e-07
3.14403547e-03,4.60952831e-02,3.62344413e-02,1.07721735e-07
3.33129479e-03,4.70354434e-02,3.69668286e-02,1.07721735e-07
3.52970730e-03,4.79955854e-02,3.77145321e-02,1.07721735e-07
3.73993730e-03,4.89761643e-02,3.84778916e-02,1.07721735e-07
3.96268864e-03,4.99776464e-02,3.92572550e-02,1.07721735e-07
4.19870708e-03,5.10005099e-02,4.00529789e-02,1.07721735e-07
4.44878283e-03,5.20452451e-02,4.08654283e-02,1.07721735e-07
4.71375313e-03,5.31123547e-02,4.16949773e-02,1.07721735e-07
4.99450512e-03,5.42023543e-02,4.25420093e-02,1.07721735e-07
5.29197874e-03,5.53157727e-02,4.34069170e-02,1.07721735e-07
5.60716994e-03,5.64531521e-02,4.42901027e-02,1.07721735e-07
5.94113398e-03,5.76150488e-02,4.51919790e-02,1.07721735e-07
6.29498899e-03,5.88020334e-02,4.61129685e-02,1.07721735e-07
6.66991966e-03,6.00146912e-02,4.70535043e-02,1.07721735e-07
7.06718127e-03,6.12536229e-02,4.80140305e-02,1.07721735e-07
7.48810386e-03,6.25194448e-02,4.89950023e-02,1.07721735e-07
7.93409667e-03,6.38127891e-02,4.99968862e-02,1.07721735e-07
8.40665289e-03,6.51343049e-02,5.10201608e-02,1.07721735e-07
8.90735464e-03,6.64846581e-02,5.20653165e-02,1.07721735e-07
9.43787828e-03,6.78645324e-02,5.31328564e-02,1.07721735e-07
1.00000000e-02,6.92746295e-02,5.42232961e-02,1.07721735e-07
