kDelta,eta_exact,eta_short_wavelength,eta_long_wavelength
4.23422846e+00,1.18797212e+00,1.18802756e+00,2.08720793e+00
4.25424850e+00,1.19077944e+00,1.19083283e+00,2.09460503e+00
4.27426854e+00,1.19358009e+00,1.19363151e+00,2.10199343e+00
4.29428858e+00,1.19637412e+00,1.19642364e+00,2.10937319e+00
4.31430862e+00,1.19916159e+00,1.19920927e+00,2.11674435e+00
4.33432866e+00,1.20194253e+00,1.20198844e+00,2.12410696e+00
4.35434870e+00,1.20471699e+00,1.20476121e+00,2.13146107e+00
4.37436874e+00,1.20748503e+00,1.20752760e+00,2.13880674e+00
4.39438878e+00,1.21024668e+00,1.21028768e+00,2.14614401e+00
4.41440882e+00,1.21300199e+00,1.21304147e+00,2.15347292e+00
4.43442886e+00,1.21575101e+00,1.21578902e+00,2.16079353e+00
4.45444890e+00,1.21849378e+00,1.21853039e+00,2.16810588e+00
4.47446894e+00,1.22123034e+00,1.22126559e+00,2.17541002e+00
4.49448898e+00,1.22396075e+00,1.22399469e+00,2.18270600e+00
4.51450902e+00,1.22668503e+00,1.22671771e+00,2.18999385e+00
4.53452906e+00,1.22940323e+00,1.22943470e+00,2.19727363e+00
4.55454910e+00,1.23211540e+00,1.23214570e+00,2.20454538e+00
4.57456914e+00,1.23482158e+00,1.23485075e+00,2.21180914e+00
4.59458918e+00,1.23752180e+00,1.23754989e+00,2.21906496e+00
4.61460922e+00,1.24021610e+00,1.24024315e+00,2.22631288e+00
4.63462926e+00,1.24290454e+00,1.24293058e+00,2.23355294e+00
4.65464930e+00,1.24558713e+00,1.24561221e+00,2.24078519e+00
4.67466934e+00,1.24826393e+00,1.24828807e+00,2.24800967e+00
4.69468938e+00,1.25093497e+00,1.25095822e+00,2.25522641e+00
4.71470942e+00,1.25360029e+00,1.25362267e+00,2.26243547e+00
4.73472946e+00,1.25625993e+00,1.25628148e+00,2.26963687e+00
4.75474950e+00,1.25891393e+00,1.25893467e+00,2.27683067e+00
4.77476954e+00,1.26156231e+00,1.26158228e+00,2.28401690e+00
4.79478958e+00,1.26420512e+00,1.26422434e+00,2.29119560e+00
4.81480962e+00,1.26684239e+00,1.26686090e+00,2.29836681e+00
4.83482966e+00,1.26947416e+00,1.26949198e+00,2.30553057e+00
4.85484970e+00,1.27210046e+00,1.27211762e+00,2.31268692e+00
4.87486974e+00,1.27472133e+00,1.27473785e+00,2.31983589e+00
4.89488978e+00,1.27733680e+00,1.27735270e+00,2.32697753e+00
4.91490982e+00,1.27994691e+00,1.27996222e+00,2.33411187e+00
