gamma_max,r_diss_over_l_zeta_0.05,r_diss_over_l_zeta_0.1,r_diss_over_l_zeta_0.3,r_diss_over_l_zeta_0.5
1.40873541e+03,9.52577020e+09,2.38144255e+09,2.64604728e+08,9.52577020e+07
1.47535428e+03,1.04480172e+10,2.61200430e+09,2.90222700e+08,1.04480172e+08
1.54512355e+03,1.14595525e+10,2.86488813e+09,3.18320903e+08,1.14595525e+08
1.61819219e+03,1.25690206e+10,3.14225515e+09,3.49139461e+08,1.25690206e+08
1.69471624e+03,1.37859030e+10,3.44647574e+09,3.82941749e+08,1.37859030e+08
1.77485909e+03,1.51205990e+10,3.78014975e+09,4.20016639e+08,1.51205990e+08
1.85879189e+03,1.65845150e+10,4.14612875e+09,4.60680973e+08,1.65845150e+08
1.94669386e+03,1.81901615e+10,4.54754038e+09,5.05282264e+08,1.81901615e+08
2.03875270e+03,1.99512603e+10,4.98781507e+09,5.54201674e+08,1.99512603e+08
2.13516498e+03,2.18828616e+10,5.47071540e+09,6.07857267e+08,2.18828616e+08
2.23613659e+03,2.40014728e+10,6.00036821e+09,6.66707579e+08,2.40014728e+08
2.34188313e+03,2.63251996e+10,6.58129989e+09,7.31255543e+08,2.63251996e+08
2.45263040e+03,2.88739002e+10,7.21847506e+09,8.02052784e+08,2.88739002e+08
2.56861490e+03,3.16693559e+10,7.91733898e+09,8.79704331e+08,3.16693559e+08
2.69008428e+03,3.47354564e+10,8.68386411e+09,9.64873790e+08,3.47354564e+08
2.81729793e+03,3.80984046e+10,9.52460114e+09,1.05828902e+09,3.80984046e+08
2.95052749e+03,4.17869399e+10,1.04467350e+10,1.16074833e+09,4.17869399e+08
3.09005746e+03,4.58325845e+10,1.14581461e+10,1.27312735e+09,4.58325845e+08
3.23618578e+03,5.02699122e+10,1.25674781e+10,1.39638645e+09,5.02699122e+08
3.38922448e+03,5.51368443e+10,1.37842111e+10,1.53157901e+09,5.51368443e+08
3.54950036e+03,6.04749733e+10,1.51187433e+10,1.67986037e+09,6.04749733e+08
3.71735565e+03,6.63299187e+10,1.65824797e+10,1.84249774e+09,6.63299187e+08
3.89314880e+03,7.27517164e+10,1.81879291e+10,2.02088101e+09,7.27517164e+08
4.07725518e+03,7.97952470e+10,1.99488117e+10,2.21653464e+09,7.97952470e+08
