# Figure 5: Fourth-order magnetization cumulant U_4 vs K
# Columns: K,U4_L8,U4_L12,U4_L16,U4_L24,U4_L32
K,U4_L8,U4_L12,U4_L16,U4_L24,U4_L32
0.2216105528,0.48077117,0.48273940,0.47504423,0.47835098,0.47885031
0.2216180905,0.48090991,0.48301402,0.47546107,0.47914866,0.48013703
0.2216256281,0.48104862,0.48328845,0.47587756,0.47994497,0.48141964
0.2216331658,0.48118730,0.48356270,0.47629371,0.48073991,0.48269808
0.2216407035,0.48132593,0.48383675,0.47670952,0.48153346,0.48397229
0.2216482412,0.48146452,0.48411061,0.47712497,0.48232560,0.48524222
0.2216557789,0.48160308,0.48438428,0.47754008,0.48311633,0.48650781
0.2216633166,0.48174160,0.48465776,0.47795484,0.48390561,0.48776903
0.2216708543,0.48188007,0.48493104,0.47836924,0.48469345,0.48902581
0.2216783920,0.48201851,0.48520413,0.47878328,0.48547982,0.49027810
0.2216859296,0.48215692,0.48547703,0.47919696,0.48626471,0.49152587
0.2216934673,0.48229528,0.48574973,0.47961029,0.48704811,0.49276905
0.2217010050,0.48243360,0.48602224,0.48002325,0.48783001,0.49400761
0.2217085427,0.48257189,0.48629456,0.48043585,0.48861038,0.49524150
0.2217160804,0.48271013,0.48656667,0.48084808,0.48938922,0.49647066
0.2217236181,0.48284834,0.48683860,0.48125994,0.49016651,0.49769507
0.2217311558,0.48298651,0.48711032,0.48167143,0.49094224,0.49891467
0.2217386935,0.48312463,0.48738185,0.48208255,0.49171639,0.50012942
0.2217462312,0.48326272,0.48765318,0.48249329,0.49248895,0.50133929
0.2217537688,0.48340077,0.48792432,0.48290366,0.49325990,0.50254422
0.2217613065,0.48353878,0.48819525,0.48331365,0.49402924,0.50374418
0.2217688442,0.48367675,0.48846599,0.48372325,0.49479695,0.50493914
0.2217763819,0.48381468,0.48873653,0.48413248,0.49556302,0.50612904
0.2217839196,0.48395257,0.48900686,0.48454132,0.49632742,0.50731386
0.2217914573,0.48409042,0.48927700,0.48494977,0.49709016,0.50849355
0.2217989950,0.48422823,0.48954693,0.48535784,0.49785121,0.50966809
0.2218065327,0.48436600,0.48981667,0.48576551,0.49861057,0.51083744
0.2218140704,0.48450373,0.49008620,0.48617279,0.49936821,0.51200156
0.2218216080,0.48464142,0.49035553,0.48657968,0.50012413,0.51316041
0.2218291457,0.48477907,0.49062466,0.48698617,0.50087832,0.51431398
0.2218366834,0.48491668,0.49089359,0.48739226,0.50163076,0.51546222
0.2218442211,0.48505425,0.49116231,0.48779795,0.50238144,0.51660511
0.2218517588,0.48519177,0.49143082,0.48820323,0.50313035,0.51774261
0.2218592965,0.48532926,0.49169914,0.48860812,0.50387747,0.51887470
0.2218668342,0.48546671,0.49196725,0.48901260,0.50462279,0.52000135
0.2218743719,0.48560411,0.49223515,0.48941666,0.50536630,0.52112253
0.2218819095,0.48574148,0.49250284,0.48982032,0.50610799,0.52223821
0.2218894472,0.48587880,0.49277034,0.49022357,0.50684785,0.52334837
0.2218969849,0.48601609,0.49303762,0.49062640,0.50758586,0.52445299
0.2219045226,0.48615333,0.49330469,0.49102882,0.50832201,0.52555204
0.2219120603,0.48629053,0.49357156,0.49143082,0.50905630,0.52664549
0.2219195980,0.48642769,0.49383822,0.49183239,0.50978870,0.52773333
0.2219271357,0.48656481,0.49410468,0.49223355,0.51051922,0.52881553
0.2219346734,0.48670189,0.49437092,0.49263428,0.51124783,0.52989207
0.2219422111,0.48683892,0.49463695,0.49303459,0.51197452,0.53096293
0.2219497487,0.48697592,0.49490278,0.49343447,0.51269929,0.53202810
0.2219572864,0.48711287,0.49516839,0.49383392,0.51342212,0.53308755
0.2219648241,0.48724978,0.49543379,0.49423294,0.51414301,0.53414127
0.2219723618,0.48738665,0.49569898,0.49463153,0.51486194,0.53518924
0.2219798995,0.48752348,0.49596396,0.49502968,0.51557890,0.53623144
0.2219874372,0.48766027,0.49622873,0.49542740,0.51629388,0.53726786
0.2219949749,0.48779701,0.49649328,0.49582467,0.51700687,0.53829848
0.2220025126,0.48793371,0.49675763,0.49622151,0.51771786,0.53932329
0.2220100503,0.48807037,0.49702175,0.49661790,0.51842684,0.54034228
0.2220175879,0.48820699,0.49728567,0.49701385,0.51913380,0.54135543
0.2220251256,0.48834356,0.49754937,0.49740936,0.51983874,0.54236274
0.2220326633,0.48848010,0.49781286,0.49780442,0.52054163,0.54336419
0.2220402010,0.48861659,0.49807613,0.49819902,0.52124247,0.54435977
0.2220477387,0.48875303,0.49833918,0.49859318,0.52194126,0.54534947
