# pi-pi scattering phase shift in rho channel (I=1, J=1)
# Columns: k_MeV, delta_11_deg
k_MeV,delta_11_deg
456.79358717,148.66694592
457.77555110,148.84910522
458.75751503,149.02815454
459.73947896,149.20416820
460.72144289,149.37721829
461.70340681,149.54737475
462.68537074,149.71470546
463.66733467,149.87927630
464.64929860,150.04115121
465.63126253,150.20039227
466.61322645,150.35705978
467.59519038,150.51121226
468.57715431,150.66290660
469.55911824,150.81219802
470.54108216,150.95914021
471.52304609,151.10378531
472.50501002,151.24618401
473.48697395,151.38638560
474.46893788,151.52443797
475.45090180,151.66038769
476.43286573,151.79428007
477.41482966,151.92615916
478.39679359,152.05606781
479.37875752,152.18404771
480.36072144,152.31013945
481.34268537,152.43438250
482.32464930,152.55681530
483.30661323,152.67747525
484.28857715,152.79639878
485.27054108,152.91362136
486.25250501,153.02917754
487.23446894,153.14310095
488.21643287,153.25542438
489.19839679,153.36617976
490.18036072,153.47539822
491.16232465,153.58311007
492.14428858,153.68934488
493.12625251,153.79413146
494.10821643,153.89749792
495.09018036,153.99947164
496.07214429,154.10007934
497.05410822,154.19934709
498.03607214,154.29730030
499.01803607,154.39396377
500.00000000,154.48936170
